blocks 168
  0 0x0DB40  0x8001D340 sz=0x30   n=12         | addiu $sp, $sp, -0x328       | addiu $s2, $a0, 0x4C
  1 0x0DB70  0x8001D370 sz=0x18   n=6          | lui $v0, %hi(D_8009D1A0)     | andi $v1, $s0, 0xFF
  2 0x0DB88  0x8001D388 sz=0x20   n=8          | lhu $v1, 0x10($a0)           | sh $a1, 0x10($a0)
  3 0x0DBA8  0x8001D3A8 sz=0xC    n=3          | addiu $v0, $zero, 0x80       | nop 
  4 0x0DBB4  0x8001D3B4 sz=0x2C   n=11  .L8001D3B4 | lui $v0, (0x66666667 >> 16)  | subu $v0, $a1, $v0
  5 0x0DBE0  0x8001D3E0 sz=0xC    n=3   .L8001D3E0 | andi $v0, $a2, 0x100         | nop 
  6 0x0DBEC  0x8001D3EC sz=0x10   n=4          | lhu $v0, 0x24($a0)           | addu $v0, $a1, $v0
  7 0x0DBFC  0x8001D3FC sz=0x4    n=1   .L8001D3FC | sh $v0, 0x10($a0)            | sh $v0, 0x10($a0)
  8 0x0DC00  0x8001D400 sz=0x24   n=9   .L8001D400 | lui $a1, %hi(D_8009D278)     | nop 
  9 0x0DC24  0x8001D424 sz=0x14   n=5          | lw $v0, 0x0($s2)             | nop 
 10 0x0DC38  0x8001D438 sz=0x14   n=5          | lw $v0, 0x30($a1)            | sw $v0, 0x30($a1)
 11 0x0DC4C  0x8001D44C sz=0x8    n=2          | addiu $v0, $zero, 0x1        | sw $v0, 0x30($a1)
 12 0x0DC54  0x8001D454 sz=0x2C   n=11  .L8001D454 | lw $v1, 0x30($a1)            | nop 
 13 0x0DC80  0x8001D480 sz=0x4    n=1          | break 7                      | break 7
 14 0x0DC84  0x8001D484 sz=0xC    n=3   .L8001D484 | addiu $at, $zero, -0x1       | lui $at, (0x80000000 >> 16)
 15 0x0DC90  0x8001D490 sz=0x8    n=2          | bne $v1, $at, .L8001D49C     | nop 
 16 0x0DC98  0x8001D498 sz=0x4    n=1          | break 6                      | break 6
 17 0x0DC9C  0x8001D49C sz=0x20   n=8   .L8001D49C | mflo $v1                     | addiu $v0, $zero, 0x1999
 18 0x0DCBC  0x8001D4BC sz=0x4    n=1          | sw $v0, 0x2C($a1)            | sw $v0, 0x2C($a1)
 19 0x0DCC0  0x8001D4C0 sz=0x30   n=12  .L8001D4C0 | lui $a0, %hi(D_8009D278)     | addiu $v0, $zero, 0xF0
 20 0x0DCF0  0x8001D4F0 sz=0x1C   n=7          | lui $a0, %hi(D_800B0E08)     | addiu $a1, $zero, 0x455
 21 0x0DD0C  0x8001D50C sz=0x18   n=6          | addu $a2, $zero, $zero       | sw $v0, 0x10($sp)
