index,size_word,image_off,image_x,image_y,image_w,image_h,clut_off,clut_x,clut_y,clut_w,clut_h,clut_src,bpp,eff_px_w,eff_px_h,palettes_16,vram_region,atlas_row_252,notes
0,0x00001080,0x007F18,704,64,32,64,0x001000,256,456,64,1,0x8012B8B8,4,128,64,4,"(704,64)-(735,127)",no,accepted B54A two-LoadImage pair
1,0x00000420,0x008F98,704,0,16,32,0x000400,288,449,16,1,0x8012BD38,4,64,32,1,"(704,0)-(719,31)",no,
2,0x00000420,0x0093B8,704,32,16,32,0x000400,304,449,16,1,0x8012C158,4,64,32,1,"(704,32)-(719,63)",no,
3,0x00000420,0x0097D8,720,0,16,32,0x000400,272,449,16,1,0x8012C578,4,64,32,1,"(720,0)-(735,31)",no,
4,0x00000420,0x009BF8,720,32,16,32,0x000400,272,448,16,1,0x8012C998,4,64,32,1,"(720,32)-(735,63)",no,
5,0x00000420,0x00A018,736,0,16,32,0x000400,256,449,16,1,0x8012CDB8,4,64,32,1,"(736,0)-(751,31)",no,
6,0x00000420,0x00A438,736,32,16,32,0x000400,256,448,16,1,0x8012D1D8,4,64,32,1,"(736,32)-(751,63)",no,
7,0x00000420,0x00A858,752,0,16,32,0x000400,304,448,16,1,0x8012D5F8,4,64,32,1,"(752,0)-(767,31)",no,
8,0x00000420,0x00AC78,752,32,16,32,0x000400,288,448,16,1,0x8012DA18,4,64,32,1,"(752,32)-(767,63)",no,
9,0x00000220,0x00B098,256,464,16,16,0x000200,304,479,16,1,0x8012DC38,4,64,16,1,"(256,464)-(271,479)",no,
10,0x000000A0,0x00B2B8,304,458,4,16,0x000080,304,476,16,1,0x8012DCD8,4,16,16,1,"(304,458)-(307,473)",no,
11,0x00000140,0x00B358,272,468,12,12,0x000120,304,478,16,1,0x8012DE18,4,48,12,1,"(272,468)-(283,479)",no,12-high strip; not 21 columns
12,0x000000E0,0x00B498,284,468,8,12,0x0000C0,304,477,16,1,0x8012DEF8,4,32,12,1,"(284,468)-(291,479)",no,
