callee,addr,words,bytes,exclusive_end,sites,n,matching_c,native_class,identity,notes
func_800370DC,0x800370DC,25,0x64,0x80037140,"0x80030A78;0x80030B94;0x80030C58;0x80030CDC;0x80030DF8;0x80030E5C;0x80030EBC;0x80030F88;0x80031058;0x800310E4;0x8003112C;0x800311A4;0x80031208;0x80031268;0x800312E0;0x8003133C;0x800313C8;0x80031468",18,no,UNRESOLVED,primitive add/sort wrapper,calls func_80077C84 then func_80077C04 then func_80077CB4; fail path jal func_800719E4(-1)
func_80037140,0x80037140,25,0x64,0x800371A4,0x80030AF4,1,no,UNRESOLVED,primitive add/sort wrapper,sibling of 370DC; calls func_80077C84 then matching SetTile func_80077C44 then func_80077CB4
func_8005DADC,0x8005DADC,7,0x1C,0x8005DAFC,"0x80030910;0x80031394",2,no,UNRESOLVED,id-times-8 table lookup,return *D_800A8030 + 0x800A8028 + (a0<<3); first call a0=0x8B
func_80077A64,0x80077A64,15,0x3C,0x80077AA0,"0x800308EC;0x800309BC;0x80030AD0;0x800313AC;0x80031444",5,no,UNRESOLVED,GetTPage,first jal in 30894; (0,1,0x100,0x1E0) -> 0x0034
func_80077AA4,0x80077AA4,6,0x18,0x80077ABC,"0x800308FC;0x8003122C",2,no,UNRESOLVED,GetClut,first call (0x130,0x1F8) -> 0x7E13
func_80077B04,0x80077B04,10,0x28,0x80077B2C,"0x80030A10;0x80030B18",2,no,UNRESOLVED,SetSemiTrans,code-byte bit1 set/clear
func_80077B34,0x80077B34,10,0x28,0x80077B5C,"0x80030E0C;0x80030E70;0x80030ED0",3,no,UNRESOLVED,SetShadeTex,code-byte bit0 set/clear
func_80077B64,0x80077B64,5,0x14,0x80077B78,0x80031020,1,src/func_80077B64.c,MATCHING_C_LEAF_NO_PORT,SetPolyF3,a0[3]=4 a0[7]=0x20; no native port
func_80077BA4,0x80077BA4,5,0x14,0x80077BB8,0x80030938,1,src/func_80077BA4.c,MATCHING_C_LEAF_NO_PORT,SetPolyFT4,a0[3]=9 a0[7]=0x2C; no native port
func_80077BC4,0x80077BC4,5,0x14,0x80077BD8,"0x80030B78;0x80030D3C;0x80030D4C",3,src/func_80077BC4.c,MATCHING_C_LEAF_NO_PORT,SetPolyG4,a0[3]=8 a0[7]=0x38; no native port
func_80077C44,0x80077C44,5,0x14,0x80077C58,"0x80030B30;0x80030F34",2,src/func_80077C44.c,MATCHING_C_LEAF_NO_PORT,SetTile,a0[3]=3 a0[7]=0x60; no native port
func_80077C64,0x80077C64,5,0x14,0x80077C78,"0x80030FD4;0x80030FE4",2,src/func_80077C64.c,MATCHING_C_LEAF_NO_PORT,SetSprt,a0[3]=3 a0[7]=0x40; no native port
