actor_type,scene,source,base_offset,window_size,sha256,first_word,first_opcode,opcode_sequence,branch_targets,yield_points,known_opcodes,unknown_opcodes,confidence,notes
0,m0005i,m0005i_chunk2,0x202C8,508,c2c5782ebf049b90ec1b62c95dcdada80b306fe49632fa2ba13706ff2e99fc2f,0x0000609B,0x9B,0x9B|0xED|0x14|0x14|0x0B|0x0B|0x09|0x05|0x09|0x05|0x0B|0x0B|0x00|0x0B|0x0B|0x09|0x05|0x09|0x05|0x0B|0x0B|0x09|0x0A|0x00,+A4->+0;+CC->+2;+10C->+148;+160->+0;+188->+2;+1F0->+22C,,0x9B|0xED|0x14|0x14|0x0B|0x0B|0x09|0x05|0x09|0x05|0x0B|0x0B|0x00|0x0B|0x0B|0x09|0x05|0x09|0x05|0x0B|0x0B|0x09|0x0A|0x00,,PROVEN,17018 word@pc word2@pc+4 imms@pc+8; 0x08-spawned
1,m0005i,m0005i_chunk2,0x21678,492,f935db507d43f64dd161efa0ac74a8023eee8cce5181f33679e0e7e3238eeb82,0x0000C0EA,0xEA,0xEA|0xEA|0x40|0xED|0xE1|0x84|0x88|0x14|0x02|0x08|0x08|0x08|0x09|0x05|0x08|0x09|0x05|0x08|0x02|0x09|0x05|0x00|0x86|0x1C,+11C->+0;+160->+0;+1B0->+0;+1C0->+1EC,+A4/0x02;+18C/0x02,0xEA|0xEA|0x40|0xED|0xE1|0x84|0x88|0x14|0x02|0x08|0x08|0x08|0x09|0x05|0x08|0x09|0x05|0x08|0x02|0x09|0x05|0x00|0x86|0x1C,,PROVEN,17018 word@pc word2@pc+4 imms@pc+8; 125E0-spawned
2,m0005i,m0005i_chunk2,0x218D4,380,a524b7727cb5a213c27a9f17725b7304c41d6a7e86081eb84e9191d1b4bc5fb3,0x0000609B,0x9B,0x9B|0xED|0x14|0x14|0x0B|0x0B|0x02|0x20|0x20|0x1F|0x09|0x05|0x04|0x2E|0x4E|0x2F|0x30|0x09|0x05|0x04|0x2E|0x09|0x05|0x04,+CC->+0;+128->+0;+164->+0,+8C/0x02;+98/0x20;+A0/0x20;+A8/0x1F;+108/0x30,0x9B|0xED|0x14|0x14|0x0B|0x0B|0x02|0x20|0x20|0x1F|0x09|0x05|0x04|0x2E|0x4E|0x2F|0x30|0x09|0x05|0x04|0x2E|0x09|0x05|0x04,,PROVEN,17018 word@pc word2@pc+4 imms@pc+8; listed_not_125E0_desc
3,m0005i,m0005i_chunk2,0x227FC,508,3520c98e68fab98a9bb00a416497e4800fb8c0217476cff28d9b0318bcc31f5a,0x00002002,0x02,0x02|0x5E|0x77|0x09|0x05|0x09|0x0A|0x1C|0x85|0x9C|0x0A|0x31|0x5E|0x77|0x09|0x05|0x09|0x0A|0x1C|0x85|0x9C|0x0A|0x31|0x09,+7C->+0;+168->+0,+0/0x02;+D4/0x9C;+1C0/0x9C,0x02|0x5E|0x77|0x09|0x05|0x09|0x0A|0x1C|0x85|0x9C|0x0A|0x31|0x5E|0x77|0x09|0x05|0x09|0x0A|0x1C|0x85|0x9C|0x0A|0x31|0x09,,PROVEN,17018 word@pc word2@pc+4 imms@pc+8; 0x08-spawned
4,m0005i,m0005i_chunk2,0x22BFC,356,b64dcacb96db88a18dfe370deb0ae6366ee3824c7ee027843cad21b2e2537593,0x00002002,0x02,0x02|0x5E|0x77|0x09|0x05|0x09|0x05|0x09|0x05|0x0A|0x1C|0x01|0x02|0x00|0x1FFF,+7C->+0;+A4->+2;+CC->+4;+114->+C,+0/0x02;+100/0x01;+108/0x02,0x02|0x5E|0x77|0x09|0x05|0x09|0x05|0x09|0x05|0x0A|0x1C|0x01|0x02|0x00,0x1FFF,PROVEN,17018 word@pc word2@pc+4 imms@pc+8; listed_not_125E0_desc
5,m0005i,m0005i_chunk2,0x22D20,380,51daa71ce45ef5788b886a77680d4d7f2adbeb74eb855505abf6fd648171cf5f,0x00004014,0x14,0x14|0x0B|0x0B|0x41|0x0A|0x09|0x05|0x2E|0x4E|0x2F|0x30|0x00|0x2E|0x4E|0x2F|0x30|0x02|0x20|0x09|0x05|0x20|0x5E|0x0C|0x09,+70->+0;+AC->+E4;+110->+0,+A4/0x30;+DC/0x30;+E4/0x02;+F0/0x20;+120/0x20,0x14|0x0B|0x0B|0x41|0x0A|0x09|0x05|0x2E|0x4E|0x2F|0x30|0x00|0x2E|0x4E|0x2F|0x30|0x02|0x20|0x09|0x05|0x20|0x5E|0x0C|0x09,,PROVEN,17018 word@pc word2@pc+4 imms@pc+8; 0x08-spawned
6,m0005i,m0005i_chunk2,0x2341C,400,de9cea6f0464a1cafac30a655f8107d3ef90030eef7408f8781680e67e3db164,0x000080CE,0xCE,0xCE|0xEA|0x0A|0x1D|0x0A|0x00|0x00|0x1D|0x0A|0x00|0x00|0x1D|0x0A|0x00|0x00|0x1D|0x0A|0x00|0x00|0x09|0x05|0x0A|0x0A|0x14,+6C->+138;+78->+98;+A8->+138;+B4->+D4;+E4->+138;+F0->+110;+120->+138;+12C->+138;+150->+0,,0xCE|0xEA|0x0A|0x1D|0x0A|0x00|0x00|0x1D|0x0A|0x00|0x00|0x1D|0x0A|0x00|0x00|0x1D|0x0A|0x00|0x00|0x09|0x05|0x0A|0x0A|0x14,,PROVEN,17018 word@pc word2@pc+4 imms@pc+8; 125E0-spawned
0,m0367i,m0367i_chunk2,0x1B330,356,ecd19bde6fe90f63b4437b31a47dcd61b7daf5210d5121e07e751b837a27543c,0x00004014,0x14,0x14|0x14|0x0B|0x0B|0x02|0x20|0x20|0x1F|0x09|0x05|0x04|0xAA|0x40|0x65|0x2E|0x09|0x05|0x04|0x2E|0x3F|0xAB|0x20|0x1FFF,+90->+0;+E4->+0,+50/0x02;+5C/0x20;+64/0x20;+6C/0x1F;+118/0x20,0x14|0x14|0x0B|0x0B|0x02|0x20|0x20|0x1F|0x09|0x05|0x04|0xAA|0x40|0x65|0x2E|0x09|0x05|0x04|0x2E|0x3F|0xAB|0x20,0x1FFF,PROVEN,17018 word@pc word2@pc+4 imms@pc+8; listed_not_125E0_desc
1,m0367i,m0367i_chunk2,0x1B454,476,896d02d94648e42dab0daf763fd44a12d2cc44fa57cae15b50e4d48358e8d09c,0x00000040,0x40,0x40|0x84|0x88|0x02|0x09|0x05|0x08|0x09|0x05|0x08|0x08|0x09|0x05|0x08|0x08|0x09|0x05|0x08|0x08|0x08|0x02|0xAA|0x40|0x03,+44->+0;+88->+0;+E8->+0;+148->+0,+20/0x02;+1AC/0x02,0x40|0x84|0x88|0x02|0x09|0x05|0x08|0x09|0x05|0x08|0x08|0x09|0x05|0x08|0x08|0x09|0x05|0x08|0x08|0x08|0x02|0xAA|0x40|0x03,,PROVEN,17018 word@pc word2@pc+4 imms@pc+8; 125E0-spawned
2,m0367i,m0367i_chunk2,0x1C230,100,b0becf91f0fbeff3e918078853c203c4d3a5b311ed5511abe76036aa8676a05d,0x0000609B,0x9B,0x9B|0xED|0x14|0x1E|0x79|0xC1,,,0x9B|0xED|0x14|0x1E|0x79,0xC1,PROVEN,17018 word@pc word2@pc+4 imms@pc+8; listed_not_125E0_desc
