scene,actor_type,script_rel,opcode,imm,bank,package,ida,idb,source_offset,size,frames,sha256,dest_slot,dest_field,writer,writer_va,first_consumer,publication_path,confidence,notes
m0005i,0,0x334,0x2E,0x15,CE2=14,ce2_14_clip_bank,0,21,0xEF28,2776,34,194a37c66679857b8a4ca3e8df72b3812cb5fafb2e03dbeb45c9e79b3fda1537,D_800B0E98[0*192+21*4],actor+0x1B0,func_8006C140,0x8006C158,func_80017AE8 -> func_8001A680,6C140 Writer B,PROVEN,first live type0 bind after 0xAA/0x40/0x65
m0005i,0,0x3B0,0x2E,0x1E,WriterA,room_hdr+0x10,0,30,0x10F40,10796,105,85170bf01e1bd9419fd9a1d5ab91837a975cb2c3320b02792cb926cc70111832,D_800B0E98[0*192+30*4],actor+0x1B0,func_8006B84C,0x8006B84C,func_80017AE8 -> func_8001A680,6B84C Writer A,PROVEN,do not name clip from appearance
m0005i,0,0x3C8,0x2F,0x69,frame_cap,,0,0x1E,,,105,,,actor+0x12,func_80017B34,0x80017B34,"func_80017B34 min(+0x0F, imm)",after_0x2E 0x1E WriterA,PROVEN,cap vs +0x0F=frames-1; not a command ID
m0005i,0,0x498,0x2E,0x1F,WriterA,room_hdr+0x10,0,31,0x1396C,4716,40,77343a19f342efda44e564306c077ce8cf53667ae3264f460fcdf6b91c64287f,D_800B0E98[0*192+31*4],actor+0x1B0,func_8006B84C,0x8006B84C,func_80017AE8 -> func_8001A680,6B84C Writer A,PROVEN,do not name clip from appearance
m0005i,0,0x4B0,0x2F,0xF,frame_cap,,0,0x1F,,,15,,,actor+0x12,func_80017B34,0x80017B34,"func_80017B34 min(+0x0F, imm)",after_0x2E 0x1F WriterA,PROVEN,cap vs +0x0F=frames-1; not a command ID
m0005i,0,0x554,0x2E,0x1F,WriterA,room_hdr+0x10,0,31,0x1396C,4716,40,77343a19f342efda44e564306c077ce8cf53667ae3264f460fcdf6b91c64287f,D_800B0E98[0*192+31*4],actor+0x1B0,func_8006B84C,0x8006B84C,func_80017AE8 -> func_8001A680,6B84C Writer A,PROVEN,do not name clip from appearance
m0005i,0,0x56C,0x2F,0x28,frame_cap,,0,0x1F,,,40,,,actor+0x12,func_80017B34,0x80017B34,"func_80017B34 min(+0x0F, imm)",after_0x2E 0x1F WriterA,PROVEN,cap vs +0x0F=frames-1; not a command ID
m0005i,0,0x5EC,0x2E,0x15,CE2=14,ce2_14_clip_bank,0,21,0xEF28,2776,34,194a37c66679857b8a4ca3e8df72b3812cb5fafb2e03dbeb45c9e79b3fda1537,D_800B0E98[0*192+21*4],actor+0x1B0,func_8006C140,0x8006C158,func_80017AE8 -> func_8001A680,6C140 Writer B,PROVEN,do not name clip from appearance
m0005i,0,0x6A4,0x2E,0x15,CE2=14,ce2_14_clip_bank,0,21,0xEF28,2776,34,194a37c66679857b8a4ca3e8df72b3812cb5fafb2e03dbeb45c9e79b3fda1537,D_800B0E98[0*192+21*4],actor+0x1B0,func_8006C140,0x8006C158,func_80017AE8 -> func_8001A680,6C140 Writer B,PROVEN,do not name clip from appearance
m0005i,0,0x6EC,0x2E,0x15,CE2=14,ce2_14_clip_bank,0,21,0xEF28,2776,34,194a37c66679857b8a4ca3e8df72b3812cb5fafb2e03dbeb45c9e79b3fda1537,D_800B0E98[0*192+21*4],actor+0x1B0,func_8006C140,0x8006C158,func_80017AE8 -> func_8001A680,6C140 Writer B,PROVEN,do not name clip from appearance
