step,scene,function,va,action,source,source_offset,dest,length,sha256,consumer,confidence,notes
1,m0367i,func_80017BB4,0x80017BF8,0x31 stores dest token to D_8009D280; D1A0|=0x2000,type1 persist 0x31,,D_8009D280,4,69306ee0f7e8b3dc37f2dfbcda9ea6c9073ce409672f83716aa7ebdbe76d1ecf,func_8003F074 / 6B4F8 a0,PROVEN,token=0xA80663C8; this tick 3F074 already ran with old token
2,m0367i,func_8001220C,0x800122D8,copy D280 to D1C4 before jal 3F3C4,D_8009D280,,D_8009D1C4,4,,func_8003F3C4 compare,PROVEN,"width=u32; change detect is after 3F074, not a 6B4F8 gate"
3,m0367i,func_8003F3C4,0x8003F3D4,unconditional jal 3F074,TEXT,,,4,,func_8003F074,PROVEN,sole TEXT caller of 3F074
4,m0367i,func_8006B35C,0x8006B35C,"clear B0E70, B0E98, +0x940..+0x958 before disc",zero,,D_800B0E70/D_800B0E98/overlay+0x940,412,1106cb2a94fa877af5a067e36a3c24d08f186694b112c2139d2869f7cf341f24,func_8006B4F8 publish slots,PROVEN,"order B0E70, B0E98, +940, +944, +948, +94C, +954then+950, +958; no CE2/CE3/+EC/+154"
5,m0367i,func_8006B4F8,0x8003F088,load M0367I three PE.IMG chunks; a0=D280,D_80093378[366],0x15050,overlay+0x194/+0x168/+0x18C,575488,671d8c53b0c12b13e1580b844e37c51dc6120b6cf7af78472037d7ed1a7da6de,6B4F8 publish cut,PROVEN,"sectors 33+170+78; LBA [87109,87390); c0=b8a23aa2c259d4d7… c1=daf7e449777a52af… c2=ab9af4f446a6f9a1…; no token-compare early-out; 3F074 does not check v0"
6,m0367i,func_8006B4F8,0x8006B7B8,publish hdr+1 to CE2; hdr+0x0C/0x10/0x14/0x18/0x1C/0x20,m0367i_chunk2,hdr@0x2696c,"CE2=10; B0E70[2,3,4]; B0E98 Writer A; +0x944..+0x950",36,d64bcffc8c277be8d50f781ded265f7e581df5e95c6604d686cf3afd36dc502e,35038 / 1A680 / 125E0,PROVEN,Writer A 36 rows live before 6BECC and 125E0
7,m0367i,func_8006BE4C,0x8003F204,"if CE2 in [10,14] and CE2!=CE3 set bit 0x00200000",D_800B0CE2 / D_800B0CE3,,D_800B0CD8 bit 0x00200000,32,fb4091da59b98ce270dd0a50c7edf8574fe5bf2117fa6a1e0cb3f5dc9e71306b,func_8006BECC state0,PROVEN,live hop after 6C1CC(1) has CE3=14 then CE2=10 so bit sets
8,m0367i,func_8006BECC,0x8003F20C,poll until v0!=1; state6 Writer B CE2=10,ce2_10_clip_bank,0x8,D_800B0E70[0] + D_800B0E98 type0,57344,29753bd66426838dae50e1487a663004aa938b1ebf58008fff09705af9f59d93,3F074 busy-wait; then 6C4C4/6C5BC/125E0,PROVEN,state6 always reached same 3F074; CE2=14 does not stay; +0xEC=0; CE3=CE2
9,m0367i,func_800125E0,0x8003F27C,spawn 125E0 desc count=1 type=1 idB=0,m0367i_chunk2,0x1C6D4,actor type1,4,,func_80035038,PROVEN,+0x1AC=B0E70[1]=0; +0x1B0=0; dest-ready after this spawn; not mode 7/9/10
104,m0005i,func_8006B4F8,0x8006B7B8,contrast dest hdr+1 / Writer A / hdr+0x0C,m0005i_chunk2,hdr@0x2faf0,CE2=10,21,01a64ba3769dae259e9c3151aa9eaacf977a44ac7db4ec8053f2d338ef017e3b,same 6B4F8 walk; do not hop runtime,PROVEN,"hdr+1=10 hdr+0x0C=2,5 WriterA=21 desc=1,6"
418,m0319i,func_8006B4F8,0x8006B7B8,contrast dest hdr+1 / Writer A / hdr+0x0C,m0319i_chunk2,hdr@0x1e08c,CE2=10,6,fafb08d77f8d9f0c79b44835c8910fdca6fb0a1fe37e82cc406bdc9362995d85,same 6B4F8 walk; do not hop runtime,PROVEN,"hdr+1=10 hdr+0x0C=2,3,4 WriterA=6 desc=1"
338,m0239i,func_8006B4F8,0x8006B7B8,contrast dest hdr+1 / Writer A / hdr+0x0C,m0239i_chunk2,hdr@0x5aef4,CE2=12,66,1de117c799dab0d0d04803e89a922ff7bbb027958c7a47d37f6eb516a6d814f8,same 6B4F8 walk; do not hop runtime,PROVEN,"hdr+1=12 hdr+0x0C=2,3,4 WriterA=66 desc=1"
157,m0058i,func_8006B4F8,0x8006B7B8,contrast dest hdr+1 / Writer A / hdr+0x0C,m0058i_chunk2,hdr@0x2c4ac,CE2=12,32,be04c5f835c72485c62191b080e02a629e635700d09666f333158293618505d2,same 6B4F8 walk; do not hop runtime,PROVEN,"hdr+1=12 hdr+0x0C=2,3,4 WriterA=32 desc=1"
134,m0035i,func_8006B4F8,0x8006B7B8,contrast dest hdr+1 / Writer A / hdr+0x0C,m0035i_chunk2,hdr@0x44f98,CE2=12,41,f2f7e7049f1fcd1f99b1cdaf4b3b0fcb2de435baff7b49c4ab3b87b94d31109d,same 6B4F8 walk; do not hop runtime,PROVEN,"hdr+1=12 hdr+0x0C=2,3,4 WriterA=41 desc=1"
235,m0136i,func_8006B4F8,0x8006B7B8,contrast dest hdr+1 / Writer A / hdr+0x0C,m0136i_chunk2,hdr@0xe300,CE2=12,12,6fa9dee4763af16cbed129b8d1f799067ede252a44b84f2aed1b469e33d08a72,same 6B4F8 walk; do not hop runtime,PROVEN,hdr+1=12 hdr+0x0C=none WriterA=12 desc=1
