object,field_or_global,writer,writer_va,source_data,source_offset,lifetime,publication_order,consumer,consumer_va,actor_type,confidence,notes
D_800B0E70[0..9],overlay+0x198,func_8006B35C,0x8006B378,zero,,dest_enter_clear,1,func_80035038 +0x1AC,0x800351A8,0-9,PROVEN,10-word countdown from overlay+0x1BC to +0x198
D_800B0E98 type rows,overlay+0x1C0,func_8006B35C,0x8006B398,zero,,dest_enter_clear,2,func_8001A680 +0x1B0,0x8001A6C8,0-9,PROVEN,10 rows x 48 words; stride 192
D_800B161C/20/24/28,overlay+0x944..+0x958,func_8006B35C,0x8006B3C0,zero,,dest_enter_clear,3,12574/1A918/371B0,0x80012574,,PROVEN,zeroer of 6B4F8 publish slots
D_800B0E70[2],actor+0x1AC,func_8006B4F8 hdr+0x0C @ 0x8006B804,0x8006B804,m0005i_chunk2,0x90B4,until_next_6B35C,4,func_80035038,0x800351A8,2,PROVEN,idA=0 size=23700 sha256=b68b7c6bf5ee7986e1ec7a458559f378705f5cdf195f0cbb83f928520e11c6fb
D_800B0E70[5],actor+0x1AC,func_8006B4F8 hdr+0x0C @ 0x8006B804,0x8006B804,m0005i_chunk2,0xED48,until_next_6B35C,4,func_80035038,0x800351A8,5,PROVEN,idA=1 size=628 sha256=e6fdc055a9912e1831e412a630ecec6796a1b59323cd28fc89f99ba193f2c045
D_800B0E98[type*192+cmd*4],actor+0x1B0,func_8006B4F8 hdr+0x10 Writer A @ 0x8006B84C,0x8006B84C,m0005i_chunk2,0x2FB78,until_next_6B35C,5,func_8001A680,0x8001A6C8,mixed,PROVEN,21 records; type2 cmd=0x17 ptr=0x1F3A8 byte2=51
D_800B161C,overlay+0x944,func_8006B4F8 hdr+0x14 / 12574,0x8006B8C4,m0005i_chunk2,0x202A4,until_next_6B35C,6,func_800125E0,0x800125E0,list,PROVEN,count=7 type entries; 125E0 desc is type1+type6 only
D_800B1620,overlay+0x948,func_8006B4F8 hdr+0x18,0x8006B8E8,m0005i_chunk2,0x2501C,until_next_6B35C,7,func_8001A918,0x8001A918,,PROVEN,lhu+2=1 +0x20=0x760; sha256=aaeec54b6313b38f4e8854b69fe1579a269455b55614917cdfc7307d78d416be
D_800B1624,overlay+0x94C,func_8006B4F8 hdr+0x1C,0x8006B90C,m0005i_chunk2,0x25CB0,until_next_6B35C,8,func_800371B0 / view apply,0x800371B0,,PROVEN,sha256=7815571dd642f17e0594b01a89a1fb6b236d72be55276fafee198277f33c2775
D_800B0E70[0],actor+0x1AC type0,func_8006C118 inside 6BECC,0x8006C118,ce2_14_clip_bank,0x8,until_next_6B35C,9,func_80035038,0x800351A8,0,PROVEN,rel24 of hdr+0x0C; size=23864 sha256=bcbdf4f4117bda4662847db35b1eca4ca61f1a099f17a809e3e3bf87bf6f1418; not m0005i hdr+0x0C
D_800B0E98[4],actor+0x1B0 type0 cmd4,func_8006C140 Writer B,0x8006C158,ce2_14_clip_bank,0x6C14,until_next_6B35C,10,func_8001A680 / 29810,0x8001A6DC,0,PROVEN,1700B enc=1 bones-1=30 frames=18 sha256=6207fbca2fe44a3549bf0b7fbcf1ce3e979a0a12e8b130e606ea4a985b1885e4
actor+0x1B4 dest,actor+0x1B4,in-actor dest object; not a table pointer,,actor body,+0x1B4,actor,11,func_80015240 / func_8006CC68,0x80015240,0,PROVEN,15240 dest=actor+0x1B4; 6CC68 publishes D254+0x1B4 to D_800B0D10; 362B8/3D050 init only if +0x1AC!=0
D_800B0E70[2],actor+0x1AC,func_8006B4F8 hdr+0x0C @ 0x8006B804,0x8006B804,m0367i_chunk2,0x8,until_next_6B35C,12,func_80035038,0x800351A8,2,PROVEN,M0367I idA=0 size=24248 sha256=c55bd4c8c80895452ae3c6d786e4cbfa403311cee384aa87e63360231bf86015
D_800B0E70[3],actor+0x1AC,func_8006B4F8 hdr+0x0C @ 0x8006B804,0x8006B804,m0367i_chunk2,0x8,until_next_6B35C,12,func_80035038,0x800351A8,3,PROVEN,M0367I idA=0 size=24248 sha256=c55bd4c8c80895452ae3c6d786e4cbfa403311cee384aa87e63360231bf86015
D_800B0E70[4],actor+0x1AC,func_8006B4F8 hdr+0x0C @ 0x8006B804,0x8006B804,m0367i_chunk2,0x5EC0,until_next_6B35C,12,func_80035038,0x800351A8,4,PROVEN,M0367I idA=0 size=21524 sha256=acec62834711c862d1abf5e50e1efc39ce5268ec159106487c79c811fac80b24
D_800B0E98 M0367I Writer A,overlay+0x1C0+type*192+cmd*4,func_8006B4F8 hdr+0x10 Writer A @ 0x8006B84C,0x8006B84C,m0367i_chunk2,hdr+0x10,until_next_6B35C,13,func_8001A680 after type1 0x08 types 2/3/4,0x8001A6C8,"0,2,3,4",PROVEN,36 rows; type0 cmd 0x18 only; no type1 row; 6B35C clears CE2=14 first
overlay+0x0A CE2,D_800B0CE2,func_8006B4F8 hdr+1 @ 0x8006B7B8,0x8006B7B8,m0367i_chunk2,0x2696D,until_next_6B4F8_or_6C1CC,14,func_8006BE4C / 6BECC,0x8006BE50,,PROVEN,M0367I hdr+1=10; same value as M0005I; not a dest-ready mode
