scene,parent_type,script_rel,spawn_order,actor_type,idb,pose_x,pose_y,pose_z,model_source,model_sha256,first_opcode,confidence,notes
m0005i,1,0xB0,1,3,0,0x20000,0xFBC80000,0x2710000,B0E70 empty,,0x02,PROVEN,"1735C argc5; first three match BTL22, then types 2 and 4"
m0005i,1,0xCC,2,0,0,0x0,0x0,0x0,ce2_14_plus_8_via_6C118,,0x9B,PROVEN,"1735C argc5; first three match BTL22, then types 2 and 4"
m0005i,1,0xE8,3,5,0,0x0,0x0,0x0,B0E70[5],e6fdc055a9912e1831e412a630ecec6796a1b59323cd28fc89f99ba193f2c045,0x14,PROVEN,"1735C argc5; first three match BTL22, then types 2 and 4"
m0005i,1,0x12C,4,2,0,0x0,0x0,0x0,B0E70[2],b68b7c6bf5ee7986e1ec7a458559f378705f5cdf195f0cbb83f928520e11c6fb,0x9B,PROVEN,"1735C argc5; first three match BTL22, then types 2 and 4"
m0005i,1,0x170,5,4,0,0x20000,0xFBC80000,0x2710000,B0E70 empty,,0x02,PROVEN,"1735C argc5; first three match BTL22, then types 2 and 4"
m0367i,1,0x54,1,2,0,0x0,0x0,0x0,B0E70[2],c55bd4c8c80895452ae3c6d786e4cbfa403311cee384aa87e63360231bf86015,0x9B,PROVEN,1735C argc5; persist 0x09 tag 74
m0367i,1,0x98,2,2,0,0x0,0x0,0x0,B0E70[2],c55bd4c8c80895452ae3c6d786e4cbfa403311cee384aa87e63360231bf86015,0x9B,PROVEN,1735C argc5; persist 0x09 tag 74
m0367i,1,0xB4,3,4,0,0x0,0x0,0x0,B0E70[4],acec62834711c862d1abf5e50e1efc39ce5268ec159106487c79c811fac80b24,0x9B,PROVEN,1735C argc5; persist 0x09 tag 74
m0367i,1,0xF8,4,3,0,0x0,0x0,0x0,B0E70[3],c55bd4c8c80895452ae3c6d786e4cbfa403311cee384aa87e63360231bf86015,0x9B,PROVEN,1735C argc5; persist 0x09 tag 74
m0367i,1,0x114,5,4,0,0x0,0x0,0x0,B0E70[4],acec62834711c862d1abf5e50e1efc39ce5268ec159106487c79c811fac80b24,0x9B,PROVEN,1735C argc5; persist 0x09 tag 74
m0367i,1,0x158,6,2,0,0x0,0x0,0x0,B0E70[2],c55bd4c8c80895452ae3c6d786e4cbfa403311cee384aa87e63360231bf86015,0x9B,PROVEN,1735C argc5; persist 0x09 tag 74
m0367i,1,0x174,7,3,0,0x0,0x0,0x0,B0E70[3],c55bd4c8c80895452ae3c6d786e4cbfa403311cee384aa87e63360231bf86015,0x9B,PROVEN,1735C argc5; persist 0x09 tag 74
m0367i,1,0x190,8,4,0,0x0,0x0,0x0,B0E70[4],acec62834711c862d1abf5e50e1efc39ce5268ec159106487c79c811fac80b24,0x9B,PROVEN,1735C argc5; persist 0x09 tag 74
m0367i,1,0x63C,9,2,0,0x0,0x0,0x0,B0E70[2],c55bd4c8c80895452ae3c6d786e4cbfa403311cee384aa87e63360231bf86015,0x9B,PROVEN,1735C argc5; persist 0x09 tag 74
m0367i,1,0x6EC,10,4,0,0x0,0x0,0x0,B0E70[4],acec62834711c862d1abf5e50e1efc39ce5268ec159106487c79c811fac80b24,0x9B,PROVEN,1735C argc5; persist 0x09 tag 74
m0367i,1,0x79C,11,3,0,0x0,0x0,0x0,B0E70[3],c55bd4c8c80895452ae3c6d786e4cbfa403311cee384aa87e63360231bf86015,0x9B,PROVEN,1735C argc5; persist 0x09 tag 74
m0367i,1,0xB80,12,2,0,0x0,0x0,0x0,B0E70[2],c55bd4c8c80895452ae3c6d786e4cbfa403311cee384aa87e63360231bf86015,0x9B,PROVEN,1735C argc5; persist 0x09 tag 74
m0367i,1,0xC30,13,3,0,0x0,0x0,0x0,B0E70[3],c55bd4c8c80895452ae3c6d786e4cbfa403311cee384aa87e63360231bf86015,0x9B,PROVEN,1735C argc5; persist 0x09 tag 74
m0367i,1,0xC4C,14,4,0,0x0,0x0,0x0,B0E70[4],acec62834711c862d1abf5e50e1efc39ce5268ec159106487c79c811fac80b24,0x9B,PROVEN,1735C argc5; persist 0x09 tag 74
