scene,ida,idb,source,source_offset,dest_slot,writer_pc,size,frames,sha256,first_consumer,live_before_spawn,consumed_first_visit,confidence,notes
m0367i,0,0x18,m0367i_chunk2,0xB2D4,D_800B0E98[0*192+24*4],0x8006B84C,1272,30,03f7338305ade7941ff5115bbacc5dd83481dc3cdc4058f5ea043a65617fd24c,dormant_until_route,YES,NO,PROVEN,no type-1 row
m0367i,2,0x00,m0367i_chunk2,0xB7CC,D_800B0E98[2*192+0*4],0x8006B84C,300,1,74ba5c54239129747dc470ce310de99121930f9e2cc1195855c16dbc7d7a426b,dormant_until_route,YES,NO,PROVEN,no type-1 row
m0367i,2,0x01,m0367i_chunk2,0xB8F8,D_800B0E98[2*192+1*4],0x8006B84C,1376,30,fa5111e33f7ddfe38f9f3824db340e32b19690decf7de2f0969aa7e0d63598c6,dormant_until_route,YES,NO,PROVEN,no type-1 row
m0367i,2,0x02,m0367i_chunk2,0xBE58,D_800B0E98[2*192+2*4],0x8006B84C,1000,18,ffe09d10cf07add61050b2c98bbd5a20e9b68b4334d0142c392514fb54a90a3e,dormant_until_route,YES,NO,PROVEN,no type-1 row
m0367i,2,0x03,m0367i_chunk2,0xC240,D_800B0E98[2*192+3*4],0x8006B84C,2348,70,205b686f52ea01caf335da54438dd1acb61022c67b6d916a0abbf20b6a20aada,dormant_until_route,YES,NO,PROVEN,no type-1 row
m0367i,2,0x04,m0367i_chunk2,0xCB6C,D_800B0E98[2*192+4*4],0x8006B84C,3032,70,42dfa883c6ca0b6b175a06476231c47d0934acf9238cd99549f8844e9f79415b,dormant_until_route,YES,NO,PROVEN,no type-1 row
m0367i,2,0x05,m0367i_chunk2,0xD744,D_800B0E98[2*192+5*4],0x8006B84C,3740,80,77b35e6ee2b83dc2b2bdab4e4158f90de550096b2bced74d4aab8d32e86b9159,dormant_until_route,YES,NO,PROVEN,no type-1 row
m0367i,2,0x06,m0367i_chunk2,0xE5E0,D_800B0E98[2*192+6*4],0x8006B84C,3900,80,e193ce524f60193c6713a0b16aef0a1b3b092abdb3507afb82d396933b760326,dormant_until_route,YES,NO,PROVEN,no type-1 row
m0367i,2,0x07,m0367i_chunk2,0xF51C,D_800B0E98[2*192+7*4],0x8006B84C,3260,80,feffd5a761770b2195d4b94c310cfa542bd6b4b399c6e4bbda9654c24c48aa13,dormant_until_route,YES,NO,PROVEN,no type-1 row
m0367i,2,0x08,m0367i_chunk2,0x101D8,D_800B0E98[2*192+8*4],0x8006B84C,3236,70,e7de4e7053ed0b8f7c7e8a1ee47787fb3e66e959cfa5fb0e3c842691711ed44d,dormant_until_route,YES,NO,PROVEN,no type-1 row
