scene,ida,idb,source_package,source_offset,size,sha256,frames,enc,bones_minus_1,dest_slot,writer_pc,reachable_via,first_known_consumer,confidence,notes
m0005i,0,0x1E,m0005i_chunk2,0x10F40,10796,85170bf01e1bd9419fd9a1d5ab91837a975cb2c3320b02792cb926cc70111832,105,2,30,D_800B0E98[0*192+30*4],0x8006B84C,type0_0x2E,type0 0x2E +0x3B0,PROVEN,do not name clip from appearance
m0005i,0,0x1F,m0005i_chunk2,0x1396C,4716,77343a19f342efda44e564306c077ce8cf53667ae3264f460fcdf6b91c64287f,40,2,30,D_800B0E98[0*192+31*4],0x8006B84C,type0_0x2E,type0 0x2E +0x498,PROVEN,do not name clip from appearance
m0005i,0,0x20,m0005i_chunk2,0x14BD8,1344,51e84dd712d7a9869459edd14080efec19316365fd8e15b9e15480143175660f,22,1,30,D_800B0E98[0*192+32*4],0x8006B84C,type0_0x2E,type0 0x2E +0xC4C,PROVEN,do not name clip from appearance
m0005i,2,0x02,m0005i_chunk2,0x15118,3180,8314abb4cb5fe14ef3eee7f07d5964542f573cccc01ebc50ffb278cd600400b2,60,0,27,D_800B0E98[2*192+2*4],0x8006B84C,listed_type2_0x2E,listed_stream_0x2E,PROVEN,do not name clip from appearance
m0005i,2,0x06,m0005i_chunk2,0x16978,2352,95a5c9ea40702959b122f8ff46a9dfb274f1adb69a6b661822226c3b23028412,39,0,27,D_800B0E98[2*192+6*4],0x8006B84C,listed_type2_0x2E,listed type2 0x2E +0xE4,PROVEN,do not name clip from appearance
m0005i,2,0x13,m0005i_chunk2,0x18734,6300,9a621ed919f012f99d70ebfd5dc7e8844348d1ddd5ee262e6a947d00382a2063,108,1,27,D_800B0E98[2*192+19*4],0x8006B84C,listed_type2_0x2E,listed_stream_0x2E,PROVEN,do not name clip from appearance
m0005i,2,0x14,m0005i_chunk2,0x19FD0,3720,40e8b1c793d4dd69adcfff3fb83968c1ea83307dbb60f92070da441fab1df572,60,1,27,D_800B0E98[2*192+20*4],0x8006B84C,listed_type2_0x2E,listed_stream_0x2E,PROVEN,do not name clip from appearance
m0005i,2,0x15,m0005i_chunk2,0x1AE58,9564,4be88f266de1bfbae5256db7dfaf153c1844f0ba5316997e4cedf6e2ff92c237,156,1,27,D_800B0E98[2*192+21*4],0x8006B84C,listed_type2_0x2E,listed_stream_0x2E,PROVEN,do not name clip from appearance
m0005i,2,0x16,m0005i_chunk2,0x1D3B4,8180,156bf04dbc4e4e0cbbe7bf10d808a1e6b0e4ce700d3133771bba9814cfb129cd,126,1,27,D_800B0E98[2*192+22*4],0x8006B84C,listed_type2_0x2E,listed_stream_0x2E,PROVEN,do not name clip from appearance
m0005i,2,0x17,m0005i_chunk2,0x1F3A8,3540,620acc5e9bc9b3524ca0c7018549583a418e2e70e5f42c1520da8b78217f6928,51,1,27,D_800B0E98[2*192+23*4],0x8006B84C,listed_type2_0x2E,listed_stream_0x2E,PROVEN,do not name clip from appearance
m0005i,5,0x00,m0005i_chunk2,0x2017C,60,2246b5cf1e77b334341c4b356b0d0955ef863810c8000c69eaefb4512f4ba761,1,1,2,D_800B0E98[5*192+0*4],0x8006B84C,type1_0x08_type5_0x2E,type5 0x2E +0xB8 after type1 0x08,PROVEN,do not name clip from appearance
m0005i,5,0x02,m0005i_chunk2,0x20210,60,b4fde2e5ad1067fabdca7bd9c1856c5e6608998f72b43f2ce561051b3ab1bb25,1,1,2,D_800B0E98[5*192+2*4],0x8006B84C,type1_0x08_type5_0x2E,type5 0x2E +0x80 after type1 0x08,PROVEN,do not name clip from appearance
