ce2,ida,idb,source,source_offset,dest_slot,writer_pc,size,frames,sha256,dest_scene,first_consumer,confidence,notes
14,0,0x00,ce2_14_clip_bank,0x5D40,D_800B0E98[0*192+0*4],0x8006C158,3796,69,cabc0c490153091a3d83b5f79da71c108d1cbe5004276ccae70707397e25e85e,m0005i_battle,type0 command row,PROVEN,battle / 6C1CC(a0=1) bank
14,0,0x01,ce2_14_clip_bank,0x5D40,D_800B0E98[0*192+1*4],0x8006C158,3796,69,cabc0c490153091a3d83b5f79da71c108d1cbe5004276ccae70707397e25e85e,m0005i_battle,type0 command row,PROVEN,battle / 6C1CC(a0=1) bank
14,0,0x02,ce2_14_clip_bank,0x5D40,D_800B0E98[0*192+2*4],0x8006C158,3796,69,cabc0c490153091a3d83b5f79da71c108d1cbe5004276ccae70707397e25e85e,m0005i_battle,type0 command row,PROVEN,battle / 6C1CC(a0=1) bank
14,0,0x03,ce2_14_clip_bank,0x5D40,D_800B0E98[0*192+3*4],0x8006C158,3796,69,cabc0c490153091a3d83b5f79da71c108d1cbe5004276ccae70707397e25e85e,m0005i_battle,type0 command row,PROVEN,battle / 6C1CC(a0=1) bank
14,0,0x04,ce2_14_clip_bank,0x6C14,D_800B0E98[0*192+4*4],0x8006C158,1700,18,6207fbca2fe44a3549bf0b7fbcf1ce3e979a0a12e8b130e606ea4a985b1885e4,m0005i_battle,29810 cmd4,PROVEN,battle / 6C1CC(a0=1) bank
14,0,0x05,ce2_14_clip_bank,0x72B8,D_800B0E98[0*192+5*4],0x8006C158,3564,48,6d6161c745865935c85c6d93269d77b4413ee6b2c663dae19fd461713c7a020a,m0005i_battle,type0 command row,PROVEN,battle / 6C1CC(a0=1) bank
14,0,0x06,ce2_14_clip_bank,0x80A4,D_800B0E98[0*192+6*4],0x8006C158,1796,21,ff260cd6f44ea4156549737e8ee1f41d7ea9d4b875c835a67491d58a7be1079f,m0005i_battle,type0 command row,PROVEN,battle / 6C1CC(a0=1) bank
14,0,0x07,ce2_14_clip_bank,0x5D40,D_800B0E98[0*192+7*4],0x8006C158,3796,69,cabc0c490153091a3d83b5f79da71c108d1cbe5004276ccae70707397e25e85e,m0005i_battle,type0 command row,PROVEN,battle / 6C1CC(a0=1) bank
14,0,0x08,ce2_14_clip_bank,0x87A8,D_800B0E98[0*192+8*4],0x8006C158,856,11,0917a6e4eacff43d49bd1c37ce5f880cce5197366366674df5059cc22e216a5a,m0005i_battle,type0 command row,PROVEN,battle / 6C1CC(a0=1) bank
14,0,0x09,ce2_14_clip_bank,0x8B00,D_800B0E98[0*192+9*4],0x8006C158,2244,28,4e9ecaa6fafe7352b2cb8aa021539d48fe6ee1d2294774404ebbc1b0f521e0d0,m0005i_battle,type0 command row,PROVEN,battle / 6C1CC(a0=1) bank
