tick,cycles,kind,pc,ra,fn,mode,d4d4,scratch0,dest,d278,hp,d2e8,gp90,a0,a1,a2,a3,sp,s0,s1,note
5,0x0e7a18f9,ENTRY,0x80072534,0xbfc03d50,unknown,0x00000000,0x00,0x00000000,0x00000000,0x00000000,-1,0x00000000,0x00000000,0x00000001,0x00000000,0x00000000,0x0000002a,0x801fff00,0xa000b870,0x00000000,exe_pc0
89,0xc1e08eda,OP2A,0x80017a50,0x80017248,unknown,0x00000000,0x00,0x00000000,0xa8001148,0x00000000,-1,0x00000000,0x801a66c0,0x801ffed0,0x00000002,0x00000002,0x801a66b8,0x801ffec0,0x801ffed0,0x80010690,scratch_bit_op
93,0xeee3744b,OP2A,0x80017a50,0x80017248,unknown,0x00000000,0x00,0x00000000,0xa8001248,0x00000000,-1,0x00000000,0x801a4748,0x801ffed0,0x00000002,0x00000002,0x801a4740,0x801ffec0,0x801ffed0,0x80010690,scratch_bit_op
95,0xeee391ca,OP2A,0x80017a50,0x80017248,unknown,0x00000000,0x00,0x00000100,0xa8001248,0x00000000,-1,0x00000000,0x801a4a70,0x801ffed0,0x00000002,0x00000002,0x801a4a68,0x801ffec0,0x801ffed0,0x80010690,scratch_bit_op
97,0xeee3924d,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000000,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
98,0xeef4946d,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000000,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
99,0xef05cdce,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
100,0xef1704a7,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
101,0xef283dfb,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
102,0xef39774d,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
103,0xef4ab0e5,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
104,0xef5bea38,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
105,0xef6d2362,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
