tick,cycles,pc,ra,fn,old,new,mode,d4d4,scratch0,d278,hp
2,0x04fbe969,0xbfc065fc,0xbfc05f74,unknown,0x00000000,0x00000000,0x00000000,0x00,0x00000000,0x00000000,-1
7,0x0e7a2577,0x80072544,0xbfc03d50,unknown,0x00000000,0x00000000,0x00000000,0x00,0x00000000,0x00000000,-1
10,0x14378451,0x8003e698,0x80012284,unknown,0x00000000,0x00000000,0x00000000,0x00,0x00000000,0x00000000,-1
75,0x16e33509,0x80012290,0x8001228c,unknown,0x00000000,0x00000000,0x00000000,0x00,0x00000000,0x00000000,-1
76,0x3a50f538,0x8003fce0,0x80042350,unknown,0x00000000,0xa9400048,0x00000000,0x00,0x00000000,0x00000000,-1
77,0x3a50f53c,0x8003fce4,0x80042350,unknown,0xa9400048,0xa8002048,0x00000000,0x00,0x00000000,0x00000000,-1
79,0x647d8ecc,0x80017bf8,0x80017bd8,unknown,0xa8002048,0xa8002048,0x00000000,0x00,0x00000000,0x00000000,-1
81,0x791cc469,0x80017bf8,0x80017bd8,unknown,0xa8002048,0xa8001148,0x00000000,0x00,0x00000000,0x00000000,-1
83,0x84730294,0x80017bf8,0x80017bd8,unknown,0xa8001148,0xa8002048,0x00000000,0x00,0x00000000,0x00000000,-1
85,0x9cd70a78,0x80017bf8,0x80017bd8,unknown,0xa8002048,0xa8001148,0x00000000,0x00,0x00000000,0x00000000,-1
87,0xb1b23a27,0x80017bf8,0x80017bd8,unknown,0xa8001148,0xa8001448,0x00000000,0x00,0x00000000,0x00000000,-1
91,0xe0e5426d,0x80017bf8,0x80017bd8,unknown,0xa8001448,0xa8001148,0x00000000,0x00,0x00000100,0x00000000,-1
