wall,tick,cycles,pc,mode,d4d4,scratch0,dest,d278,hp,d2e8,gp90,pad_phase,identity
17:32:51,0,521480,0xbfc02b58,0x00000000,0x00,0x00000000,0x00000000,0x00000000,-1,0x00000000,0x00000000,WAIT_ID,0
17:32:52,0,38900544,0x000000b0,0x00000000,0x00,0x00000000,0x00000000,0x00000000,-1,0x00000000,0x00000000,WAIT_ID,0
17:32:53,3,90825175,0x00001ec4,0x00000000,0x00,0x00000000,0x00000000,0x00000000,-1,0x00000000,0x00000000,MASH_SKIP,1
17:32:54,4,142749776,0xbfc0d5c0,0x00000000,0x00,0x00000000,0x00000000,0x00000000,-1,0x00000000,0x00000000,MASH_SKIP,1
17:32:55,4,193545600,0x000005e0,0x00000000,0x00,0x00000000,0x00000000,0x00000000,-1,0x00000000,0x00000000,MASH_SKIP,1
17:32:56,9,246034617,0xbfc090ec,0x00000000,0x00,0x00000000,0x00000000,0x00000000,-1,0x00000000,0x00000000,LOAD_CONFIRM,1
17:32:57,9,298523630,0xbfc0911c,0x00000000,0x00,0x00000000,0x00000000,0x00000000,-1,0x00000000,0x00000000,LOAD_CONFIRM,1
17:32:58,74,342546690,0x8007fc9c,0x00000000,0x00,0x00000000,0x00000000,0x00000000,-1,0x00000000,0x00000000,LOAD_CONFIRM,1
17:32:59,74,371330972,0x80073a6c,0x00000000,0x00,0x00000000,0x00000000,0x00000000,-1,0x00000000,0x00000000,LOAD_CONFIRM,1
17:33:00,75,404630471,0x8007b3c4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:01,75,435672340,0x8008123c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:02,75,468971845,0x8007f668,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:03,75,501706920,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:04,75,536699580,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:05,75,568870265,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:06,75,603862949,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:07,75,638291234,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:08,75,673283911,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:09,75,708840981,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:10,75,744398045,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:11,75,779955126,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
