tick,cycles,pc,ra,fn,old,new,d4d4,scratch0,dest,d278,hp,d2e8,gp90,a0,a1,a2,a3,sp,insn_words
3,0x04fbe969,0xbfc065fc,0xbfc05f74,unknown,0x00000000,0x00000000,0x00,0x00000000,0x00000000,0x00000000,-1,0x00000000,0x00000000,0x8009d000,0x00000200,0x1f8010f0,0x1f8010b0,0x00008560,
8,0x0e7a2598,0x80072544,0xbfc03d50,unknown,0x00000000,0x00000000,0x00,0x00000000,0x00000000,0x00000000,-1,0x00000000,0x00000000,0x00000001,0x00000000,0x00000000,0x0000002a,0x801fff00,
211,0xf67db1d9,0x80029834,0x80014624,unknown,0x00000000,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x00000000,0x73decd80,0x00001000,0x00000000,0x801ffe88,
217,0xf6b15971,0x80017ff8,0x80017248,unknown,0x00000000,0x00000000,0x00,0x00000108,0xa8001248,0x800b8a20,40,0x00000001,0x801a4adc,0x801ffed0,0x00000000,0x00000000,0x801a4adc,0x801ffec0,
219,0xf6b16644,0x8002cf28,0x8002cf08,unknown,0x00000000,0x00000006,0x00,0x00000108,0xa8001248,0x800b8a20,40,0x00000001,0x801a4b10,0x000000ff,0x000000f9,0x00000082,0x0000009f,0x801ffa70,
226,0xfb19c684,0x800192bc,0x80017248,unknown,0x00000006,0x00000007,0x01,0x0000011c,0xa8001248,0x800b8a20,40,0x00000004,0x801a5b28,0x801ffed0,0x00000000,0x00000000,0x801a5b28,0x801ffec0,
0x00000138,0x005982c1,0x8002a428,0x8002a41c,unknown,0x00000007,0x00000000,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x801ffd60,0x800b8628,0x000000f9,0x0000009f,0x801ffd90,
0x0000013a,0x006aa4c3,0x8002a818,0x8002a810,unknown,0x00000000,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x00000034,0x00000000,0x00000078,0x00000078,0x801ffd90,
0x0000013b,0x007c3f89,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x00000034,0x00000028,0x00000070,0x00000070,0x801ffd90,
0x0000013c,0x008d78cb,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x00000034,0x00000000,0x00000068,0x00000068,0x801ffd90,
0x0000013d,0x009eac1f,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x00000034,0x00000028,0x00000060,0x00000060,0x801ffd90,
0x0000013e,0x00afe601,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x00000034,0x00000000,0x00000058,0x00000058,0x801ffd90,
0x0000013f,0x00c11ed0,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x00000034,0x00000028,0x00000050,0x00000050,0x801ffd90,
0x00000140,0x00d2514f,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x00000034,0x00000000,0x00000048,0x00000048,0x801ffd90,
0x00000141,0x00e38add,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x00000034,0x00000028,0x00000040,0x00000040,0x801ffd90,
0x00000142,0x00f4c449,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x00000034,0x00000000,0x00000048,0x00000048,0x801ffd90,
0x00000143,0x0105fdab,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x800b8628,0x800b8628,0x00000080,0x0000007f,0x801ffd90,
0x00000144,0x01173078,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x00000034,0x00000000,0x00000058,0x00000058,0x801ffd90,
0x00000145,0x012869d7,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x00000034,0x00000028,0x00000060,0x00000060,0x801ffd90,
0x00000146,0x0139a5dd,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x00000034,0x00000000,0x00000068,0x00000068,0x801ffd90,
0x00000147,0x014adf4f,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x00000034,0x00000028,0x00000070,0x00000070,0x801ffd90,
0x00000148,0x015c17fb,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x00000034,0x00000000,0x00000078,0x00000078,0x801ffd90,
0x00000149,0x016d51a3,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x00000034,0x00000028,0x00000080,0x00000080,0x801ffd90,
0x0000014a,0x017e8e4c,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x00000034,0x00000000,0x00000088,0x00000088,0x801ffd90,
0x0000014b,0x018fc770,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x00000034,0x00000028,0x00000090,0x00000090,0x801ffd90,
