tick,cycles,pc,ra,fn,old,new,old_bit2,new_bit2,mode,d4d4,dest,d278,hp,d2e8,gp90,a0,a1,a2,a3,sp,insn_words
4,0x05aba0df,0xbfc065fc,0xbfc05f74,unknown,0x00000000,0x00000000,0,0,0x00000000,0x00,0x00000000,0x00000000,-1,0x00000000,0x00000000,0x800b6800,0x00000200,0x1f8010f0,0x1f8010b0,0x00008560,
9,0x0e7e8777,0x80072544,0xbfc03d50,unknown,0x00000000,0x00000000,0,0,0x00000000,0x00,0x00000000,0x00000000,-1,0x00000000,0x00000000,0x00000001,0x00000000,0x00000000,0x0000002a,0x801fff00,
11,0x1439d730,0x80034f4c,0x8003e730,unknown,0x00000000,0x00000000,0,0,0x00000000,0x00,0x00000000,0x00000000,-1,0x00000000,0x00000000,0x00000014,0x00000001,0x00000c60,0x8009d310,0x801fffb8,
12,0x1439d739,0x80034f4c,0x8003e730,unknown,0x00000000,0x00000000,0,0,0x00000000,0x00,0x00000000,0x00000000,-1,0x00000000,0x00000000,0x00000014,0x00000002,0x00000c60,0x8009d310,0x801fffb8,
13,0x1439d742,0x80034f4c,0x8003e730,unknown,0x00000000,0x00000000,0,0,0x00000000,0x00,0x00000000,0x00000000,-1,0x00000000,0x00000000,0x00000014,0x00000003,0x00000c60,0x8009d310,0x801fffb8,
14,0x1439d74b,0x80034f4c,0x8003e730,unknown,0x00000000,0x00000000,0,0,0x00000000,0x00,0x00000000,0x00000000,-1,0x00000000,0x00000000,0x00000014,0x00000004,0x00000c60,0x8009d310,0x801fffb8,
15,0x1439d754,0x80034f4c,0x8003e730,unknown,0x00000000,0x00000000,0,0,0x00000000,0x00,0x00000000,0x00000000,-1,0x00000000,0x00000000,0x00000014,0x00000005,0x00000c60,0x8009d310,0x801fffb8,
16,0x1439d75d,0x80034f4c,0x8003e730,unknown,0x00000000,0x00000000,0,0,0x00000000,0x00,0x00000000,0x00000000,-1,0x00000000,0x00000000,0x00000014,0x00000006,0x00000c60,0x8009d310,0x801fffb8,
17,0x1439d766,0x80034f4c,0x8003e730,unknown,0x00000000,0x00000000,0,0,0x00000000,0x00,0x00000000,0x00000000,-1,0x00000000,0x00000000,0x00000014,0x00000007,0x00000c60,0x8009d310,0x801fffb8,
18,0x1439d76f,0x80034f4c,0x8003e730,unknown,0x00000000,0x00000000,0,0,0x00000000,0x00,0x00000000,0x00000000,-1,0x00000000,0x00000000,0x00000014,0x00000008,0x00000c60,0x8009d310,0x801fffb8,
19,0x1439d778,0x80034f4c,0x8003e730,unknown,0x00000000,0x00000000,0,0,0x00000000,0x00,0x00000000,0x00000000,-1,0x00000000,0x00000000,0x00000014,0x00000009,0x00000c60,0x8009d310,0x801fffb8,
20,0x1439d781,0x80034f4c,0x8003e730,unknown,0x00000000,0x00000000,0,0,0x00000000,0x00,0x00000000,0x00000000,-1,0x00000000,0x00000000,0x00000014,0x0000000a,0x00000c60,0x8009d310,0x801fffb8,
21,0x1439d78a,0x80034f4c,0x8003e730,unknown,0x00000000,0x00000000,0,0,0x00000000,0x00,0x00000000,0x00000000,-1,0x00000000,0x00000000,0x00000014,0x0000000b,0x00000c60,0x8009d310,0x801fffb8,
22,0x1439d793,0x80034f4c,0x8003e730,unknown,0x00000000,0x00000000,0,0,0x00000000,0x00,0x00000000,0x00000000,-1,0x00000000,0x00000000,0x00000014,0x0000000c,0x00000c60,0x8009d310,0x801fffb8,
23,0x1439d79c,0x80034f4c,0x8003e730,unknown,0x00000000,0x00000000,0,0,0x00000000,0x00,0x00000000,0x00000000,-1,0x00000000,0x00000000,0x00000014,0x0000000d,0x00000c60,0x8009d310,0x801fffb8,
