scene,module,script_pc,index,before,operation,after,consequence,first_play_arm
m0002i,0,+0x0268,0,0,assign,0,persist[0x0]=0x0,YES
m0002i,0,+0x0278,74,0,assign,9,persist[0x4a]=0x9,YES
m0002i,5,+0x0EE4,1,0,assign_before_token,2,then 0x31 m0003i @ +0x0EF4,YES
m0003i,1,+0x0718,1,2,assign,3,persist[0x1]=0x3,YES
m0372i,1,+0x04E4,74,9,assign_before_token,18,then 0x31 m0004i @ +0x0514,YES
m0372i,3,+0x0D48,74,9,assign_before_token,18,then 0x31 m0004i @ +0x0D58,YES
m0004i,0,+0x0534,0,0,assign,0,persist[0x0]=0x0,YES
m0004i,0,+0x0544,74,18,assign,24,persist[0x4a]=0x18,YES
m0004i,0,+0x06AC,1,3,assign_before_token,4,then 0x31 m0005i @ +0x06BC,ALTERNATE_OR_RETURN
m0004i,0,+0x07C0,1,3,assign_before_token,4,then 0x31 m0005i @ +0x07D0,ALTERNATE_OR_RETURN
m0004i,4,+0x0F30,1,3,assign_before_token,4,then 0x31 m0378i @ +0x0F40,YES
m0378i,0,+0x0380,1,4,assign_before_token,378,then 0x31 m0004i @ +0x0390,ALTERNATE_OR_RETURN
m0378i,4,+0x0724,1,4,assign_before_token,378,then 0x31 m0377i @ +0x0734,YES
m0378i,4,+0x0760,1,4,assign_before_token,378,then 0x31 m0001i @ +0x0770,ALTERNATE_OR_RETURN
m0377i,5,+0x0764,1,378,assign_before_token,377,then 0x31 m0378i @ +0x0774,ALTERNATE_OR_RETURN
