index,index_hex,rw,operation,value,value_hex,scene,table_index,module,script_pc,handler,opcode,modes,args,src_bank,dst_bank,alu_desc,signedness,branch_consequence,notes
1,0x1,read,alu_eq,10,0xA,m0002i,1,0,+0x00D0,0x80012850,0x09,0 3 2 0,0xB 0x0 0x1 0xA,persist,cond,dst = (a == b),bit_exact,skip-if-false -> +0x0F3C,a
1,0x1,read,alu_eq,3,0x3,m0002i,1,0,+0x0128,0x80012850,0x09,0 3 2 0,0xB 0x0 0x1 0x3,persist,cond,dst = (a == b),bit_exact,skip-if-false -> +0x0F94,a
74,0x4A,read,alu_slt_ab,9,0x9,m0002i,1,0,+0x018C,0x80012850,0x09,0 3 2 0,0xA 0x0 0x4A 0x9,persist,cond,dst = (a < b) signed,slt,skip-if-false -> +0x10B8,a
0,0x0,read,alu_and,2,0x2,m0002i,1,0,+0x01D8,0x80012850,0x09,0 3 2 0,0x3 0x0 0x0 0x2,persist,cond,dst = a & b,u32,skip-if-false -> +0x1020,a
0,0x0,read,alu_and,4294967293,0xFFFFFFFD,m0002i,1,0,+0x0250,0x80012850,0x09,0 3 2 0,0x3 0x0 0x0 0xFFFFFFFD,persist,cond,dst = a & b,u32,,a
0,0x0,write,assign,,,m0002i,1,0,+0x0268,0x800173F4,0x0A,2 3,0x0 0x0,cond,persist,,,,
74,0x4A,write,assign,9,0x9,m0002i,1,0,+0x0278,0x800173F4,0x0A,2 0,0x4A 0x9,imm,persist,,,,
74,0x4A,read,alu_slt_ab,9,0x9,m0002i,1,1,+0x0460,0x80012850,0x09,0 3 2 0,0xA 0x0 0x4A 0x9,persist,cond,dst = (a < b) signed,slt,skip-if-false -> +0x0F48,a
74,0x4A,read,alu_sge_ab,9,0x9,m0002i,1,1,+0x04BC,0x80012850,0x09,0 3 2 0,0xC 0x0 0x4A 0x9,persist,cond,dst = (a >= b) signed,slt,skip-if-false -> +0x0F9C,a
74,0x4A,read,alu_sge_ab,9,0x9,m0002i,1,2,+0x06C0,0x80012850,0x09,0 3 2 0,0xC 0x0 0x4A 0x9,persist,cond,dst = (a >= b) signed,slt,skip-if-false -> +0x10EC,a
1,0x1,write,assign,2,0x2,m0002i,1,5,+0x0EE4,0x800173F4,0x0A,2 0,0x1 0x2,imm,persist,,,,
1,0x1,read,alu_eq,1,0x1,m0003i,2,0,+0x00C4,0x80012850,0x09,0 3 2 0,0xB 0x0 0x1 0x1,persist,cond,dst = (a == b),bit_exact,skip-if-false -> +0x0E2C,a
1,0x1,read,alu_eq,2,0x2,m0003i,2,0,+0x011C,0x80012850,0x09,0 3 2 0,0xB 0x0 0x1 0x2,persist,cond,dst = (a == b),bit_exact,skip-if-false -> +0x0E84,a
1,0x1,read,alu_eq,377,0x179,m0003i,2,0,+0x0174,0x80012850,0x09,0 3 2 0,0xB 0x0 0x1 0x179,persist,cond,dst = (a == b),bit_exact,skip-if-false -> +0x0EDC,a
1,0x1,read,alu_eq,4,0x4,m0003i,2,0,+0x01CC,0x80012850,0x09,0 3 2 0,0xB 0x0 0x1 0x4,persist,cond,dst = (a == b),bit_exact,skip-if-false -> +0x0F34,a
25,0x19,read,alu_and,134217728,0x8000000,m0003i,2,0,+0x03E4,0x80012850,0x09,0 3 2 0,0x3 0x0 0x19 0x8000000,persist,cond,dst = a & b,u32,,a
74,0x4A,read,alu_sge_ab,17,0x11,m0003i,2,0,+0x0560,0x80012850,0x09,0 3 2 0,0xC 0x0 0x4A 0x11,persist,cond,dst = (a >= b) signed,slt,skip-if-false -> +0x12B0,a
74,0x4A,read,alu_slt_ab,24,0x18,m0003i,2,1,+0x063C,0x80012850,0x09,0 3 2 0,0xA 0x0 0x4A 0x18,persist,cond,dst = (a < b) signed,slt,skip-if-false -> +0x0E04,a
25,0x19,read,alu_and,134217728,0x8000000,m0003i,2,1,+0x06D0,0x80012850,0x09,0 3 2 0,0x3 0x0 0x19 0x8000000,persist,cond,dst = a & b,u32,skip-if-false -> +0x0E90,a
1,0x1,write,assign,3,0x3,m0003i,2,1,+0x0718,0x800173F4,0x0A,2 0,0x1 0x3,imm,persist,,,,
25,0x19,read,alu_and,134217728,0x8000000,m0003i,2,2,+0x09C0,0x80012850,0x09,0 3 2 0,0x3 0x0 0x19 0x8000000,persist,cond,dst = a & b,u32,,a
25,0x19,read,alu_or,134217728,0x8000000,m0003i,2,2,+0x0A80,0x80012850,0x09,0 3 2 0,0x2 0x0 0x19 0x8000000,persist,cond,dst = a | b,u32,,a
25,0x19,write,assign,,,m0003i,2,2,+0x0A98,0x800173F4,0x0A,2 3,0x19 0x0,cond,persist,,,,
74,0x4A,read,alu_slt_ab,48,0x30,m0003i,2,5,+0x0DD4,0x80012850,0x09,0 3 2 0,0xA 0x0 0x4A 0x30,persist,cond,dst = (a < b) signed,slt,skip-if-false -> +0x0E70,a
25,0x19,read,alu_and,134217728,0x8000000,m0003i,2,5,+0x0DFC,0x80012850,0x09,0 3 2 0,0x3 0x1 0x19 0x8000000,persist,cond,dst = a & b,u32,skip-if-false -> +0x0E44,a
74,0x4A,write,assign,18,0x12,m0372i,371,1,+0x04E4,0x800173F4,0x0A,2 0,0x4A 0x12,imm,persist,,,,
74,0x4A,write,assign,17,0x11,m0372i,371,2,+0x07F8,0x800173F4,0x0A,2 0,0x4A 0x11,imm,persist,,,,
74,0x4A,read,alu_slt_ab,16,0x10,m0372i,371,3,+0x0954,0x80012850,0x09,0 3 2 0,0xA 0x0 0x4A 0x10,persist,cond,dst = (a < b) signed,slt,skip-if-false -> +0x154C,a
0,0x0,read,alu_and,4,0x4,m0372i,371,3,+0x09C4,0x80012850,0x09,0 3 2 0,0x3 0x0 0x0 0x4,persist,cond,dst = a & b,u32,skip-if-false -> +0x1290,a
0,0x0,read,alu_or,2,0x2,m0372i,371,3,+0x0A74,0x80012850,0x09,0 3 2 0,0x2 0x1 0x0 0x2,persist,cond,dst = a | b,u32,,a
0,0x0,write,assign,,,m0372i,371,3,+0x0A8C,0x800173F4,0x0A,2 3,0x0 0x1,cond,persist,,,,
74,0x4A,write,assign,18,0x12,m0372i,371,3,+0x0D48,0x800173F4,0x0A,2 0,0x4A 0x12,imm,persist,,,,
74,0x4A,read,alu_slt_ab,24,0x18,m0004i,3,0,+0x0078,0x80012850,0x09,0 3 2 0,0xA 0x0 0x4A 0x18,persist,cond,dst = (a < b) signed,slt,skip-if-false -> +0x0F30,a
1,0x1,read,alu_eq,5,0x5,m0004i,3,0,+0x00CC,0x80012850,0x09,0 3 2 0,0xB 0x0 0x1 0x5,persist,cond,dst = (a == b),bit_exact,skip-if-false -> +0x1020,a
24,0x18,read,alu_and,1,0x1,m0004i,3,0,+0x0100,0x80012850,0x09,0 3 2 0,0x3 0x0 0x18 0x1,persist,cond,dst = a & b,u32,skip-if-false -> +0x0FF0,a
24,0x18,read,alu_and,4294967294,0xFFFFFFFE,m0004i,3,0,+0x0158,0x80012850,0x09,0 3 2 0,0x3 0x0 0x18 0xFFFFFFFE,persist,cond,dst = a & b,u32,,a
24,0x18,write,assign,,,m0004i,3,0,+0x0170,0x800173F4,0x0A,2 3,0x18 0x0,cond,persist,,,,
1,0x1,read,alu_eq,3,0x3,m0004i,3,0,+0x01BC,0x80012850,0x09,0 3 2 0,0xB 0x0 0x1 0x3,persist,cond,dst = (a == b),bit_exact,skip-if-false -> +0x1084,a
