message_id,scene,close_mechanism,implemented_gate,match,script_open,script_wait,fb07_nn,fb07_ticks,op_0x02_ticks,rd5c2_0x100_edge_applied
MSG_0x14,m0372i,0xF9 auto,OP_0x02 authored wait (no 0x100),yes,module1+0x025C OP_0x0D,module1+0x0268 OP_0x02,0x78,120,320,no
MSG_0x15,m0372i,0xF9 auto,OP_0x02 authored wait (no 0x100),yes,module1+0x0274 OP_0x0D,module1+0x0280 OP_0x02,0x2D,45,80,no
MSG_0x16,m0372i,0xF9 auto,OP_0x02 authored wait (no 0x100),yes,module1+0x028C OP_0x0D,module1+0x0298 OP_0x02,0x55,85,90,no
MSG_0x17,m0372i,0xF9 auto,OP_0x02 authored wait (no 0x100),yes,module1+0x02A4 OP_0x0D,module1+0x02B0 OP_0x02,0x78,120,170,no
MSG_0x18,m0372i,0xF9 auto,OP_0x02 authored wait (no 0x100),yes,module1+0x02BC OP_0x0D,module1+0x02C8 OP_0x02,0x2D,45,60,no
MSG_0x19,m0372i,0xF9 auto,OP_0x02 authored wait (no 0x100),yes,module1+0x02D4 OP_0x0D,module1+0x02E0 OP_0x02,0x64,100,120,no
MSG_0x1A,m0372i,0xF9 auto,OP_0x02 authored wait (no 0x100),yes,module1+0x02EC OP_0x0D,module1+0x02F8 OP_0x02,0x2D,45,60,no
MSG_0x1B,m0372i,0xF9 auto,OP_0x02 authored wait (no 0x100),yes,module1+0x0304 OP_0x0D,module1+0x0310 OP_0x02,0x3C,60,80,no
MSG_0x1C,m0372i,0xF9 auto,OP_0x02 authored wait (no 0x100),yes,module1+0x031C OP_0x0D,module1+0x0328 OP_0x02,0x3C,60,360,no
MSG_0x1D,m0372i,0xF9 auto,OP_0x02 authored wait (no 0x100),yes,module1+0x0334 OP_0x0D,module1+0x0340 OP_0x02,0x2D,45,90,no
MSG_0x1E,m0372i,0xF9 auto,OP_0x02 authored wait (no 0x100),yes,module1+0x034C OP_0x0D,module1+0x0358 OP_0x02,0x3C,60,70,no
MSG_0x1F,m0372i,0xF9 auto,OP_0x02 authored wait (no 0x100),yes,module1+0x0364 OP_0x0D,module1+0x0370 OP_0x02,0x3C,60,110,no
MSG_0x20,m0372i,0xF9 auto,OP_0x02 authored wait (no 0x100),yes,module1+0x037C OP_0x0D,module1+0x03A8 OP_0x02,0x3C,60,120,no
