message_id,script_open,script_wait,marker,marker_off,raw_hex,token_stream,decoded_text,controls,speaker_metadata
0x14,m0372i m1+0x025C,0x02 320 (not 0x22),FF FE 14,+0x3F7,fffe141f41383d32344a0f1530433734414b0f3f3b343042340f363845340f3c34f70f3f34413c384222383e3d0f433e0f3c304141480f1445302f0ffb0778,"Prince , Father U/4B  please give me \n  permission to marry Eva .  FB07 78","Prince, Father<4B> please give me\n permission to marry Eva.",F7; FB 07 78; F9 chain to 0x15,none in record; no FA
0x15,m0372i m1+0x0274,0x02 80,F9 FE 15,+0x436,f9fe151a383d364a0f180f151e211118130f18232bfb072d,"King , I FORBID IT ! FB07 2D","King, I FORBID IT!",FB 07 2D; F9 chain,none
0x16,m0372i m1+0x028C,0x02 90,F9 FE 16,+0x44E,f9fe160f283e440f3a3d3e460f46343b3b0f463730430f46383b3b0f37303f3f343d0f3835f70f483e440f333e2b0ffb0755," You know well what will happen if \n  you do !  FB07 55"," You know well what will happen if\n you do!",F7; FB 07 55; F9 chain,none
0x17,m0372i m1+0x02A4,0x02 170,F9 FE 17,+0x480,f9fe170f23373e42340f46373e0f42443232443c310f433e0f3734410f3134304443480f101b1bf70f3338340f383d0f373e414138313b340f463048422b0ffb0778," Those who succumb to her beauty ALL \n  die in horrible ways !  FB07 78"," Those who succumb to her beauty ALL\n die in horrible ways!",F7; FB 07 78; F9 chain,none
0x18,m0372i m1+0x02BC,0x02 60,F9 FE 18,+0x4C2,f9fe181f41383d32344a0f283e440f333e3d2e430f443d3334414243303d332bfb072d,"Prince , You don't understand ! FB07 2D","Prince, You don't understand!",FB 07 2D; F9 chain,none
0x19,m0372i m1+0x02D4,0x02 120,F9 FE 19,+0x4E5,f9fe190f2217140f38420f4337340f3e3d340f433730430f3730420f4244353534413433f70f30354334410f4337340f3334304337422ffb0764," SHE is the one that has suffered \n  after the deaths . FB07 64"," SHE is the one that has suffered\n after the deaths.",F7; FB 07 64; F9 chain,none
0x1A,m0372i m1+0x02EC,0x02 60,F9 FE 1A,+0x51F,f9fe1a1a383d364a0f2217140f38420f1425181b2bfb072d,"King , SHE is EVIL ! FB07 2D","King, SHE is EVIL!",FB 07 2D; F9 chain,none
0x1B,m0372i m1+0x0304,0x02 80,F9 FE 1B,+0x537,f9fe1b0f16443041332b0f164130310f1714212bfb073c," Guard ! Grab HER ! FB07 3C"," Guard! Grab HER!",FB 07 3C; F9 chain,none
0x1C,m0372i m1+0x031C,0x02 360,F9 FE 1C,+0x54E,f9fe1c0f103d332f2f2f0f1124211d0f3734410f30430f4337340f4243303a342bfb073c," And ... BURN her at the stake ! FB07 3C"," And... BURN her at the stake!",FB 07 3C; F9 chain,none
0x1D,m0372i m1+0x0334,0x02 90,F9 FE 1D,+0x572,f9fe1d1f41383d32344a0f1530433734412bfb072d,"Prince , Father ! FB07 2D","Prince, Father!",FB 07 2D; F9 chain,none
0x1E,m0372i m1+0x034C,0x02 70,F9 FE 1E,+0x587,f9fe1e0f18350f483e440f3041340f42343d43343d32383d360f3734410f433ef70f33343043372f2f2ffb073c," If you are sentencing her to \n  death ... FB07 3C"," If you are sentencing her to\n death...",F7; FB 07 3C; F9 chain,none
0x1F,m0372i m1+0x0364,0x02 110,F9 FE 1F,+0x5B4,f9fe1f0f2f2f2f4337343d0f180f30423a0f483e440f433e0f43303a340f3c480f3b383534f70f303b3e3d360f463843370f373441422f2f2ffb073c," ...then I ask you to take my life \n  along with hers ... FB07 3C"," ...then I ask you to take my life\n along with hers...",F7; FB 07 3C; F9 chain,none
0x20,m0372i m1+0x037C,0x02 120,F9 FE 20,+0x5F0,f9fe201445304a0f1433463041332f2f2ffb073c,"Eva , Edward ... FB07 3C","Eva, Edward...",FB 07 3C; F9 chain,none
0x21,m0004i m0+0x0434,0x22 +0x0440,F9 FE 21,+0x604,f9fe21fa4a0f2b2bff,"FA:name ,   ! ! FF:term","[NAME], !!",FA; FF terminal,FA draws D_80091694 (ROM 10 48 30); a1=0 default window
0x22,m0004i m0+0x044C,0x22 +0x0458,FF FE 22,+0x60C,fffe221c303d4a0f19344244422b2b0f182f2f2f0f333e3d2e430f46303d3d302f2f2f2bf70f1e370f3c480f363e332f2f2f2b2b0f182f2f2f0f182f2f2fff,"Man , Jesus !! I ... don't wanna ... ! \n  Oh my god ... !! I ... I ... FF","Man, Jesus!! I... don't wanna...!\n Oh my god...!! I... I...",F7; FF terminal,no FA; a1=0
0x23,m0004i m0+0x0464,0x22 +0x0470,FF FE 23,+0x64A,fffe23fa4a0f163e2b0f1634430f3e444343300f373441342b2b0f1d1e262b2bff,"FA:name ,   Go ! Get outta here !! NOW !! FF","[NAME], Go! Get outta here!! NOW!!",FA; FF terminal,FA + a1=0
