code,kind,decoded,u,v,width,proof
0x0F,space,SPACE,180,0,14,handler+width table+word gaps
0x10,letter,A,192,0,9,code+0x31
0x11,letter,B,204,0,8,code+0x31
0x12,letter,C,216,0,7,code+0x31
0x13,letter,D,228,0,8,code+0x31
0x14,letter,E,240,0,7,code+0x31
0x15,letter,F,0,12,7,code+0x31
0x16,letter,G,12,12,8,code+0x31
0x17,letter,H,24,12,9,code+0x31
0x18,letter,I,36,12,6,code+0x31
0x19,letter,J,48,12,7,code+0x31
0x1A,letter,K,60,12,9,code+0x31
0x1B,letter,L,72,12,8,code+0x31
0x1C,letter,M,84,12,11,code+0x31
0x1D,letter,N,96,12,9,code+0x31
0x1E,letter,O,108,12,7,code+0x31
0x1F,letter,P,120,12,8,code+0x31
0x20,letter,Q,132,12,7,code+0x31
0x21,letter,R,144,12,9,code+0x31
0x22,letter,S,156,12,7,code+0x31
0x23,letter,T,168,12,7,code+0x31
0x24,letter,U,180,12,9,code+0x31
0x25,letter,V,192,12,9,code+0x31
0x26,letter,W,204,12,11,code+0x31
0x27,letter,X,216,12,7,code+0x31
0x28,letter,Y,228,12,9,code+0x31
0x29,letter,Z,240,12,7,code+0x31
0x2B,punct,!,12,24,4,Jesus!! Go! NOW!!
0x2E,punct,',48,24,4,don't
0x2F,punct,.,60,24,4,I... death...
0x30,letter,a,72,24,8,code+0x31
0x31,letter,b,84,24,8,code+0x31
0x32,letter,c,96,24,7,code+0x31
0x33,letter,d,108,24,7,code+0x31
0x34,letter,e,120,24,7,code+0x31
0x35,letter,f,132,24,7,code+0x31
0x36,letter,g,144,24,8,code+0x31
0x37,letter,h,156,24,9,code+0x31
0x38,letter,i,168,24,5,code+0x31
0x39,letter,j,180,24,4,code+0x31
0x3A,letter,k,192,24,8,code+0x31
0x3B,letter,l,204,24,5,code+0x31
0x3C,letter,m,216,24,11,code+0x31
0x3D,letter,n,228,24,9,code+0x31
0x3E,letter,o,240,24,7,code+0x31
0x3F,letter,p,0,36,8,code+0x31
0x40,letter,q,12,36,8,code+0x31
0x41,letter,r,24,36,7,code+0x31
0x42,letter,s,36,36,6,code+0x31
0x43,letter,t,48,36,5,code+0x31
0x44,letter,u,60,36,9,code+0x31
0x45,letter,v,72,36,9,code+0x31
0x46,letter,w,84,36,11,code+0x31
0x47,letter,x,96,36,7,code+0x31
0x48,letter,y,108,36,9,code+0x31
0x49,letter,z,120,36,6,code+0x31
0x4A,punct,",",132,36,4,Prince, Man, Eva,
0x4B,UNKNOWN,,144,36,4,unmapped; after Father in 0x14
