site,measurement,vertex_set,model_y_min,model_y_max,model_y_span,actor_x,actor_y,actor_z,y_source,yaw,H,pan_x,pan_y,origin_cx,origin_cy,origin_cz,vert_sz_min,vert_sz_max,cam_y_min,cam_y_max,cam_y_span,sy_min,sy_max,span,span_kind,same_pose_as_other,same_origin_sz,same_h,same_pan_rule,status,notes
m0002i,VIS1-A_census,unposed_bind,-42,36,78,-127,0,-5377,SNAPPED,0x0860,307,0,3,-145,224,2475,2415,2601,92,282,190,126.071737,150.848447,24.7767,float_SY,no,yes,yes,yes,REPLAYED,production GTE path at 14c959b; remasured 24.776711
m0002i,VIS1-C_published,posed_idle_0x15,-447,-218,229,-127,0,-5377,SNAPPED,0x0860,307,0,3,-145,224,2475,2136,2341,-92,98,190,102.09,128.18,26,trunc_each_SY_or_report,no,yes,yes,yes,PUBLISHED,fb20034 REPORT; 128-102=26 from float SY
m0002i,remeasure_posed_float,posed_idle_0x15,-447,-218,229,-127,0,-5377,SNAPPED,0x0860,307,0,3,-145,224,2475,2136,2341,-92,98,190,102.091408,128.184049,26.092641,float_SY,no,yes,yes,yes,REPLAYED,matches VIS-C cad4598 26.09
m0002i,remeasure_posed_int_div,posed_idle_0x15,-447,-218,229,-127,0,-5377,SNAPPED,0x0860,307,0,3,-145,224,2475,2136,2341,-92,98,190,103,128,25,integer_H_IR_over_SZ,no,yes,yes,yes,REPLAYED,d867f42 stand-in; not the published 26
m0002i,remeasure_unposed_nopan,unposed_bind,-42,36,78,-127,0,-5377,SNAPPED,0x0860,307,0,0,-145,224,2475,2415,2601,92,282,190,123.071737,147.848447,24.776711,float_SY,no,yes,yes,pan_off_same_span,REPLAYED,pan is a uniform 2D offset
m0003i,VIS1-A_census,unposed_bind,-42,36,78,-272,-4,-176,SNAPPED,0x0800,251,0,-144,-16,939,1235,1188,1343,794,1008,214,123.334373,180.969697,57.6353,float_SY,no,yes,yes,yes,REPLAYED,production GTE path at 14c959b; remasured 57.635324
m0003i,VIS1-C_published,posed_idle_0x15,-447,-218,229,-272,-4,-176,SNAPPED,0x0800,251,0,-144,-16,939,1235,846,1069,685,854,169,154.20,183.90,29,trunc_each_SY_or_report,no,yes,yes,yes,PUBLISHED,fb20034 REPORT; 183-154=29 from float SY
m0003i,remeasure_posed_float,posed_idle_0x15,-447,-218,229,-272,-4,-176,SNAPPED,0x0800,251,0,-144,-16,939,1235,846,1069,685,854,169,154.195510,183.902542,29.707033,float_SY,no,yes,yes,yes,REPLAYED,matches VIS-C cad4598 29.71
m0003i,remeasure_posed_int_div,posed_idle_0x15,-447,-218,229,-272,-4,-176,SNAPPED,0x0800,251,0,-144,-16,939,1235,846,1069,685,854,169,154,183,29,integer_H_IR_over_SZ,no,yes,yes,yes,REPLAYED,same published 29
m0003i,remeasure_unposed_nopan,unposed_bind,-42,36,78,-272,-4,-176,SNAPPED,0x0800,251,0,0,-16,939,1235,1188,1343,794,1008,214,267.334373,324.969697,57.635324,float_SY,no,yes,yes,pan_off_same_span,REPLAYED,raw lobby SY sits in 512-tall view; pan does not change span
m0003i,authored_Y0_unposed,unposed_bind,-42,36,78,-272,0,-176,AUTHORED,0x0800,251,0,-144,-16,942,1238,1192,1346,796,1010,214,123.241647,180.676174,57.434527,float_SY,no,origin_sz_1238,yes,yes,REJECTED_Y,Y source is not the 57-vs-29 cause
m0003i,authored_Y0_posed,posed_idle_0x15,-447,-218,229,-272,0,-176,AUTHORED,0x0800,251,0,-144,-16,942,1238,849,1073,687,856,169,154.203169,183.521097,29.317928,float_SY,no,origin_sz_1238,yes,yes,REJECTED_Y,still ~29; authored 0 is not gameplay Y
m0003i,H_swap_307_unposed,unposed_bind,-42,36,78,-272,-4,-176,SNAPPED,0x0800,307,0,-144,-16,939,1235,1188,1343,794,1008,214,157.990647,228.484848,70.494202,float_SY,no,yes,H_forced_307,yes,COUNTERFACTUAL,H is not the 57-vs-29 cause
m0003i,H_swap_307_posed,posed_idle_0x15,-447,-218,229,-272,-4,-176,SNAPPED,0x0800,307,0,-144,-16,939,1235,846,1069,685,854,169,195.737138,232.072034,36.334896,float_SY,no,yes,H_forced_307,yes,COUNTERFACTUAL,wrong H still does not recover 57.6353 from posed verts
