opcode,opcode_dec,handler,in_text,used_on_graph,use_count,scenes,known,jals,stores
0x00,0,0x80017294,True,True,14780,"m0001i,m0002i,m0003i,m0004i,m0005i,m0006i,m0009i,m0011i,m0012i,m0013i,m0014i,m0016i,m0017i,m0018i,m0020i,m0021i,m0022i,m0023i,m0025i,m0026i,m0027i,m0028i,m0029i,m0030i,m0031i,m0032i,m0033i,m0034i,m0035i,m0036i,m0039i,m0041i,m0042i,m0043i,m0044i,m0045i,m0046i,m0047i,m0048i,m0051i,m0052i,m0055i,m0056i,m0057i,m0058i,m0059i,m0060i,m0061i,m0062i,m0063i,m0064i,m0065i,m0066i,m0067i,m0068i,m0069i,m0070i,m0071i,m0072i,m0073i,m0074i,m0075i,m0076i,m0077i,m0078i,m0079i,m0080i,m0081i,m0082i,m0083i,m0084i,m0085i,m0086i,m0087i,m0088i,m0089i,m0090i,m0091i,m0092i,m0093i,m0094i,m0095i,m0096i,m0097i,m0098i,m0099i,m0100i,m0102i,m0103i,m0104i,m0106i,m0107i,m0108i,m0111i,m0112i,m0113i,m0114i,m0115i,m0116i,m0117i,m0118i,m0120i,m0121i,m0122i,m0123i,m0124i,m0125i,m0126i,m0127i,m0128i,m0129i,m0130i,m0131i,m0132i,m0133i,m0134i,m0135i,m0136i,m0137i,m0138i,m0139i,m0140i,m0141i,m0142i,m0143i,m0144i,m0145i,m0146i,m0147i,m0148i,m0149i,m0150i,m0151i,m0152i,m0153i,m0154i,m0155i,m0156i,m0157i,m0158i,m0159i,m0160i,m0239i,m0259i,m0271i,m0272i,m0273i,m0275i,m0276i,m0278i,m0279i,m0280i,m0281i,m0282i,m0283i,m0284i,m0285i,m0286i,m0287i,m0288i,m0319i,m0320i,m0321i,m0322i,m0323i,m0324i,m0325i,m0326i,m0327i,m0328i,m0329i,m0330i,m0331i,m0332i,m0334i,m0339i,m0348i,m0349i,m0350i,m0351i,m0352i,m0353i,m0354i,m0355i,m0358i,m0359i,m0361i,m0362i,m0363i,m0366i,m0372i,m0373i,m0374i,m0377i,m0378i,m0380i,m0381i,m0425i,m0426i,m0427i,m0428i,m0429i,m0430i,m0432i,m0438i",goto,,
0x01,1,0x800172BC,True,True,413,"m0004i,m0005i,m0011i,m0012i,m0014i,m0016i,m0017i,m0018i,m0022i,m0023i,m0027i,m0028i,m0030i,m0031i,m0032i,m0033i,m0039i,m0041i,m0042i,m0043i,m0044i,m0045i,m0046i,m0047i,m0048i,m0049i,m0050i,m0051i,m0052i,m0055i,m0056i,m0059i,m0061i,m0062i,m0063i,m0066i,m0067i,m0070i,m0071i,m0072i,m0073i,m0074i,m0075i,m0076i,m0077i,m0078i,m0079i,m0080i,m0081i,m0082i,m0083i,m0084i,m0085i,m0086i,m0087i,m0088i,m0089i,m0091i,m0094i,m0098i,m0099i,m0100i,m0102i,m0103i,m0104i,m0106i,m0107i,m0108i,m0111i,m0112i,m0113i,m0114i,m0115i,m0116i,m0118i,m0120i,m0121i,m0122i,m0124i,m0125i,m0126i,m0127i,m0128i,m0129i,m0130i,m0132i,m0133i,m0134i,m0135i,m0136i,m0137i,m0138i,m0139i,m0140i,m0141i,m0142i,m0143i,m0144i,m0145i,m0146i,m0147i,m0148i,m0149i,m0150i,m0152i,m0153i,m0154i,m0155i,m0158i,m0159i,m0160i,m0239i,m0259i,m0271i,m0272i,m0273i,m0276i,m0278i,m0281i,m0282i,m0283i,m0284i,m0285i,m0286i,m0287i,m0288i,m0319i,m0320i,m0321i,m0322i,m0323i,m0324i,m0325i,m0326i,m0327i,m0328i,m0329i,m0330i,m0331i,m0332i,m0339i,m0350i,m0353i,m0354i,m0355i,m0358i,m0361i,m0362i,m0363i,m0366i,m0367i,m0372i,m0373i,m0381i,m0426i,m0427i,m0428i,m0429i,m0430i,m0432i,m0438i",actor_flag_or_0x10_yield,,sw@0x800A0098
0x02,2,0x800172E0,True,True,6716,"m0001i,m0002i,m0003i,m0004i,m0005i,m0006i,m0009i,m0011i,m0012i,m0013i,m0014i,m0016i,m0017i,m0018i,m0020i,m0021i,m0022i,m0023i,m0025i,m0026i,m0027i,m0028i,m0029i,m0030i,m0031i,m0032i,m0033i,m0034i,m0035i,m0036i,m0039i,m0041i,m0042i,m0043i,m0044i,m0045i,m0046i,m0047i,m0048i,m0049i,m0050i,m0051i,m0052i,m0055i,m0056i,m0057i,m0058i,m0059i,m0060i,m0061i,m0062i,m0063i,m0064i,m0065i,m0066i,m0067i,m0068i,m0069i,m0070i,m0071i,m0072i,m0073i,m0074i,m0075i,m0076i,m0077i,m0078i,m0079i,m0080i,m0081i,m0082i,m0083i,m0084i,m0085i,m0086i,m0087i,m0088i,m0089i,m0090i,m0091i,m0092i,m0093i,m0094i,m0095i,m0096i,m0097i,m0098i,m0099i,m0100i,m0102i,m0103i,m0104i,m0106i,m0107i,m0108i,m0111i,m0112i,m0113i,m0114i,m0115i,m0116i,m0117i,m0118i,m0120i,m0121i,m0122i,m0123i,m0124i,m0125i,m0126i,m0127i,m0128i,m0129i,m0130i,m0131i,m0132i,m0133i,m0134i,m0135i,m0136i,m0137i,m0138i,m0139i,m0140i,m0141i,m0142i,m0143i,m0144i,m0145i,m0146i,m0147i,m0148i,m0149i,m0150i,m0151i,m0152i,m0153i,m0154i,m0155i,m0156i,m0157i,m0158i,m0159i,m0160i,m0239i,m0259i,m0271i,m0272i,m0273i,m0275i,m0276i,m0278i,m0279i,m0280i,m0281i,m0282i,m0283i,m0284i,m0285i,m0286i,m0287i,m0288i,m0319i,m0320i,m0321i,m0322i,m0323i,m0324i,m0325i,m0326i,m0327i,m0328i,m0329i,m0330i,m0331i,m0332i,m0334i,m0339i,m0348i,m0349i,m0350i,m0351i,m0352i,m0353i,m0354i,m0355i,m0358i,m0359i,m0361i,m0362i,m0363i,m0366i,m0367i,m0372i,m0373i,m0374i,m0377i,m0378i,m0380i,m0381i,m0425i,m0426i,m0427i,m0428i,m0429i,m0430i,m0432i,m0438i",wait_ticks,,
0x03,3,0x80017C54,True,True,184,"m0011i,m0012i,m0014i,m0016i,m0022i,m0026i,m0027i,m0028i,m0030i,m0032i,m0041i,m0043i,m0044i,m0049i,m0050i,m0059i,m0061i,m0062i,m0063i,m0065i,m0066i,m0067i,m0068i,m0075i,m0078i,m0080i,m0081i,m0082i,m0083i,m0085i,m0086i,m0087i,m0090i,m0100i,m0104i,m0107i,m0111i,m0113i,m0114i,m0115i,m0116i,m0118i,m0120i,m0121i,m0122i,m0123i,m0125i,m0126i,m0129i,m0130i,m0137i,m0139i,m0140i,m0141i,m0145i,m0146i,m0147i,m0149i,m0152i,m0153i,m0154i,m0156i,m0239i,m0271i,m0272i,m0273i,m0283i,m0288i,m0324i,m0326i,m0327i,m0328i,m0332i,m0339i,m0348i,m0351i,m0352i,m0358i,m0367i,m0372i,m0380i,m0425i,m0429i,m0430i,m0432i",,0x800661EC,
0x04,4,0x80017988,True,True,1359,"m0001i,m0002i,m0003i,m0004i,m0005i,m0006i,m0009i,m0011i,m0012i,m0013i,m0014i,m0016i,m0017i,m0018i,m0020i,m0021i,m0022i,m0023i,m0025i,m0026i,m0027i,m0028i,m0029i,m0030i,m0031i,m0032i,m0033i,m0034i,m0035i,m0036i,m0039i,m0041i,m0042i,m0043i,m0044i,m0045i,m0046i,m0047i,m0048i,m0049i,m0050i,m0051i,m0052i,m0055i,m0056i,m0057i,m0058i,m0059i,m0060i,m0061i,m0062i,m0063i,m0064i,m0065i,m0066i,m0067i,m0068i,m0069i,m0070i,m0071i,m0072i,m0073i,m0074i,m0075i,m0076i,m0077i,m0078i,m0079i,m0080i,m0081i,m0082i,m0083i,m0084i,m0085i,m0086i,m0087i,m0088i,m0089i,m0090i,m0091i,m0092i,m0093i,m0094i,m0095i,m0096i,m0097i,m0098i,m0099i,m0100i,m0102i,m0103i,m0104i,m0106i,m0107i,m0108i,m0111i,m0112i,m0113i,m0114i,m0115i,m0116i,m0117i,m0118i,m0120i,m0121i,m0122i,m0123i,m0124i,m0125i,m0126i,m0127i,m0128i,m0129i,m0130i,m0131i,m0132i,m0133i,m0134i,m0135i,m0136i,m0137i,m0138i,m0139i,m0140i,m0141i,m0142i,m0143i,m0144i,m0145i,m0146i,m0147i,m0148i,m0149i,m0150i,m0151i,m0152i,m0153i,m0154i,m0155i,m0156i,m0157i,m0158i,m0159i,m0160i,m0239i,m0259i,m0271i,m0272i,m0273i,m0275i,m0276i,m0278i,m0279i,m0280i,m0281i,m0282i,m0283i,m0284i,m0285i,m0286i,m0287i,m0288i,m0319i,m0320i,m0321i,m0322i,m0323i,m0324i,m0325i,m0326i,m0327i,m0328i,m0329i,m0330i,m0331i,m0332i,m0339i,m0348i,m0349i,m0350i,m0358i,m0359i,m0367i,m0372i,m0373i,m0374i,m0377i,m0378i,m0380i,m0381i,m0425i,m0426i,m0428i,m0429i,m0430i,m0432i",,,
0x05,5,0x8001731C,True,True,19705,"m0001i,m0002i,m0003i,m0004i,m0005i,m0006i,m0009i,m0011i,m0012i,m0013i,m0014i,m0016i,m0017i,m0018i,m0020i,m0021i,m0022i,m0023i,m0025i,m0026i,m0027i,m0028i,m0029i,m0030i,m0031i,m0032i,m0033i,m0034i,m0035i,m0036i,m0039i,m0041i,m0042i,m0043i,m0044i,m0045i,m0046i,m0047i,m0048i,m0049i,m0050i,m0051i,m0052i,m0055i,m0056i,m0057i,m0058i,m0059i,m0060i,m0061i,m0062i,m0063i,m0064i,m0065i,m0066i,m0067i,m0068i,m0069i,m0070i,m0071i,m0072i,m0073i,m0074i,m0075i,m0076i,m0077i,m0078i,m0079i,m0080i,m0081i,m0082i,m0083i,m0084i,m0085i,m0086i,m0087i,m0088i,m0089i,m0090i,m0091i,m0092i,m0093i,m0094i,m0095i,m0096i,m0097i,m0098i,m0099i,m0100i,m0102i,m0103i,m0104i,m0106i,m0107i,m0108i,m0111i,m0112i,m0113i,m0114i,m0115i,m0116i,m0117i,m0118i,m0120i,m0121i,m0122i,m0123i,m0124i,m0125i,m0126i,m0127i,m0128i,m0129i,m0130i,m0131i,m0132i,m0133i,m0134i,m0135i,m0136i,m0137i,m0138i,m0139i,m0140i,m0141i,m0142i,m0143i,m0144i,m0145i,m0146i,m0147i,m0148i,m0149i,m0150i,m0151i,m0152i,m0153i,m0154i,m0155i,m0156i,m0157i,m0158i,m0159i,m0160i,m0239i,m0259i,m0271i,m0272i,m0273i,m0275i,m0276i,m0278i,m0279i,m0280i,m0281i,m0282i,m0283i,m0284i,m0285i,m0286i,m0287i,m0288i,m0319i,m0320i,m0321i,m0322i,m0323i,m0324i,m0325i,m0326i,m0327i,m0328i,m0329i,m0330i,m0331i,m0332i,m0334i,m0339i,m0348i,m0349i,m0350i,m0351i,m0352i,m0353i,m0354i,m0355i,m0358i,m0359i,m0361i,m0362i,m0363i,m0366i,m0367i,m0372i,m0373i,m0374i,m0377i,m0378i,m0380i,m0381i,m0425i,m0426i,m0427i,m0428i,m0429i,m0430i,m0432i,m0438i",skip_if_false,,
0x06,6,0,False,False,0,,,,
0x07,7,0,False,False,0,,,,
0x08,8,0x8001735C,True,True,2976,"m0001i,m0002i,m0003i,m0004i,m0005i,m0006i,m0009i,m0011i,m0012i,m0013i,m0014i,m0016i,m0017i,m0018i,m0020i,m0021i,m0022i,m0023i,m0025i,m0026i,m0027i,m0028i,m0029i,m0030i,m0031i,m0032i,m0033i,m0034i,m0035i,m0036i,m0039i,m0041i,m0042i,m0043i,m0044i,m0045i,m0046i,m0047i,m0048i,m0049i,m0050i,m0051i,m0052i,m0055i,m0056i,m0057i,m0058i,m0059i,m0060i,m0061i,m0062i,m0063i,m0064i,m0065i,m0066i,m0067i,m0068i,m0069i,m0070i,m0071i,m0072i,m0073i,m0074i,m0075i,m0076i,m0077i,m0078i,m0079i,m0080i,m0081i,m0082i,m0083i,m0084i,m0085i,m0086i,m0087i,m0088i,m0089i,m0090i,m0091i,m0092i,m0093i,m0094i,m0095i,m0096i,m0097i,m0098i,m0099i,m0100i,m0102i,m0103i,m0104i,m0106i,m0107i,m0108i,m0111i,m0112i,m0113i,m0114i,m0115i,m0116i,m0117i,m0118i,m0120i,m0121i,m0122i,m0123i,m0124i,m0125i,m0126i,m0127i,m0128i,m0129i,m0130i,m0131i,m0132i,m0133i,m0134i,m0135i,m0136i,m0137i,m0138i,m0139i,m0140i,m0141i,m0142i,m0143i,m0144i,m0145i,m0146i,m0147i,m0148i,m0149i,m0150i,m0151i,m0152i,m0153i,m0154i,m0155i,m0156i,m0157i,m0158i,m0159i,m0160i,m0239i,m0259i,m0271i,m0272i,m0273i,m0275i,m0276i,m0278i,m0279i,m0280i,m0281i,m0282i,m0283i,m0284i,m0285i,m0286i,m0287i,m0288i,m0319i,m0320i,m0321i,m0322i,m0323i,m0324i,m0325i,m0326i,m0327i,m0328i,m0329i,m0330i,m0331i,m0332i,m0334i,m0339i,m0348i,m0349i,m0350i,m0351i,m0352i,m0353i,m0354i,m0355i,m0358i,m0359i,m0361i,m0362i,m0363i,m0366i,m0367i,m0372i,m0373i,m0374i,m0377i,m0378i,m0380i,m0381i,m0425i,m0426i,m0427i,m0428i,m0429i,m0430i,m0432i",create_actor,0x80035038 0x8001AA78,
0x09,9,0x80012850,True,True,35390,"m0001i,m0002i,m0003i,m0004i,m0005i,m0006i,m0009i,m0011i,m0012i,m0013i,m0014i,m0016i,m0017i,m0018i,m0020i,m0021i,m0022i,m0023i,m0025i,m0026i,m0027i,m0028i,m0029i,m0030i,m0031i,m0032i,m0033i,m0034i,m0035i,m0036i,m0039i,m0041i,m0042i,m0043i,m0044i,m0045i,m0046i,m0047i,m0048i,m0049i,m0050i,m0051i,m0052i,m0055i,m0056i,m0057i,m0058i,m0059i,m0060i,m0061i,m0062i,m0063i,m0064i,m0065i,m0066i,m0067i,m0068i,m0069i,m0070i,m0071i,m0072i,m0073i,m0074i,m0075i,m0076i,m0077i,m0078i,m0079i,m0080i,m0081i,m0082i,m0083i,m0084i,m0085i,m0086i,m0087i,m0088i,m0089i,m0090i,m0091i,m0092i,m0093i,m0094i,m0095i,m0096i,m0097i,m0098i,m0099i,m0100i,m0102i,m0103i,m0104i,m0106i,m0107i,m0108i,m0111i,m0112i,m0113i,m0114i,m0115i,m0116i,m0117i,m0118i,m0120i,m0121i,m0122i,m0123i,m0124i,m0125i,m0126i,m0127i,m0128i,m0129i,m0130i,m0131i,m0132i,m0133i,m0134i,m0135i,m0136i,m0137i,m0138i,m0139i,m0140i,m0141i,m0142i,m0143i,m0144i,m0145i,m0146i,m0147i,m0148i,m0149i,m0150i,m0151i,m0152i,m0153i,m0154i,m0155i,m0156i,m0157i,m0158i,m0159i,m0160i,m0239i,m0259i,m0271i,m0272i,m0273i,m0275i,m0276i,m0278i,m0279i,m0280i,m0281i,m0282i,m0283i,m0284i,m0285i,m0286i,m0287i,m0288i,m0319i,m0320i,m0321i,m0322i,m0323i,m0324i,m0325i,m0326i,m0327i,m0328i,m0329i,m0330i,m0331i,m0332i,m0334i,m0339i,m0348i,m0349i,m0350i,m0351i,m0352i,m0353i,m0354i,m0355i,m0358i,m0359i,m0361i,m0362i,m0363i,m0366i,m0367i,m0372i,m0373i,m0374i,m0377i,m0378i,m0380i,m0381i,m0425i,m0426i,m0427i,m0428i,m0429i,m0430i,m0432i,m0438i",alu,,
